,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance
0,76.0,132.0,208.0,286.0,317.0,323.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,34.99359130859375,2.0,20,16,20,ic0_ti0,0.07607002258301065
1,76.0,172.0,487.0,1355.0,3413.0,8081.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.99359130859375,2.0,20,16,20,ic0_ti0,0.07607002258301065
2,76.0,156.0,269.0,350.0,383.0,389.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.04742431640625,2.0,20,16,20,ic0_ti0,0.07607002258301065
3,76.0,152.0,296.0,421.0,469.0,478.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.01144027709961,2.0,20,16,20,ic0_ti0,0.07607002258301065
4,76.0,152.0,270.0,361.0,397.0,409.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.0374641418457,2.0,20,16,20,ic0_ti0,0.07607002258301065
5,76.0,149.0,270.0,340.0,380.0,390.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.09254455566406,2.0,20,16,20,ic0_ti0,0.07607002258301065
6,76.0,159.0,292.0,394.0,429.0,441.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.014949798583984,2.0,20,16,20,ic0_ti0,0.07607002258301065
7,76.0,172.0,285.0,368.0,399.0,408.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.115665435791016,2.0,20,16,20,ic0_ti0,0.07607002258301065
8,76.0,162.0,294.0,379.0,426.0,452.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,34.96286392211914,2.0,20,16,20,ic0_ti0,0.07607002258301065
9,76.0,140.0,225.0,294.0,325.0,337.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.051334381103516,2.0,20,16,20,ic0_ti0,0.07607002258301065
10,76.0,181.0,303.0,406.0,473.0,489.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.09696960449219,2.0,20,16,20,ic0_ti0,0.07607002258301065
11,76.0,164.0,397.0,1000.0,2392.0,5986.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.95155334472656,2.0,20,16,20,ic0_ti0,0.07607002258301065
12,76.0,198.0,580.0,1661.0,4268.0,10260.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.92546081542969,2.0,20,16,20,ic0_ti0,0.07607002258301065
13,76.0,214.0,660.0,1758.0,4500.0,10413.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.960994720458984,2.0,20,16,20,ic0_ti0,0.07607002258301065
14,76.0,216.0,655.0,1728.0,4278.0,10057.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.00789260864258,2.0,20,16,20,ic0_ti0,0.07607002258301065
15,76.0,173.0,524.0,1419.0,3693.0,9180.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.933536529541016,2.0,20,16,20,ic0_ti0,0.07607002258301065
16,76.0,196.0,531.0,1347.0,3408.0,8131.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.037864685058594,2.0,20,16,20,ic0_ti0,0.07607002258301065
17,76.0,214.0,706.0,2156.0,5622.0,12844.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.87479019165039,2.0,20,16,20,ic0_ti0,0.07607002258301065
18,76.0,167.0,435.0,1043.0,2710.0,6518.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.96440124511719,2.0,20,16,20,ic0_ti0,0.07607002258301065
19,76.0,208.0,608.0,1605.0,4031.0,9124.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.01346206665039,2.0,20,16,20,ic0_ti0,0.07607002258301065
0,76.0,137.0,224.0,270.0,295.0,299.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.095359802246094,2.0,20,16,20,ic0_ti1,0.841982269287108
1,76.0,179.0,537.0,1440.0,3797.0,9272.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.095359802246094,2.0,20,16,20,ic0_ti1,0.841982269287108
2,76.0,128.0,212.0,254.0,273.0,286.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.98274612426758,2.0,20,16,20,ic0_ti1,0.841982269287108
3,76.0,140.0,205.0,256.0,266.0,274.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.96065902709961,2.0,20,16,20,ic0_ti1,0.841982269287108
4,76.0,165.0,298.0,371.0,396.0,398.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.96803283691406,2.0,20,16,20,ic0_ti1,0.841982269287108
5,76.0,154.0,272.0,361.0,394.0,403.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,36.035667419433594,2.0,20,16,20,ic0_ti1,0.841982269287108
6,76.0,153.0,260.0,341.0,379.0,389.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.94723129272461,2.0,20,16,20,ic0_ti1,0.841982269287108
7,76.0,172.0,281.0,374.0,406.0,412.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,36.03957748413086,2.0,20,16,20,ic0_ti1,0.841982269287108
8,76.0,178.0,307.0,389.0,425.0,434.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.91436004638672,2.0,20,16,20,ic0_ti1,0.841982269287108
9,76.0,145.0,238.0,301.0,330.0,333.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.981712341308594,2.0,20,16,20,ic0_ti1,0.841982269287108
10,76.0,166.0,301.0,404.0,458.0,474.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,36.02619934082031,2.0,20,16,20,ic0_ti1,0.841982269287108
11,76.0,169.0,460.0,1225.0,2949.0,6922.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.0455207824707,2.0,20,16,20,ic0_ti1,0.841982269287108
12,76.0,183.0,481.0,1265.0,3063.0,7233.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.01029968261719,2.0,20,16,20,ic0_ti1,0.841982269287108
13,76.0,186.0,583.0,1615.0,3988.0,9578.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.037845611572266,2.0,20,16,20,ic0_ti1,0.841982269287108
14,76.0,200.0,670.0,1879.0,4864.0,11560.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.09406661987305,2.0,20,16,20,ic0_ti1,0.841982269287108
15,76.0,196.0,609.0,1559.0,3981.0,9457.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.01704406738281,2.0,20,16,20,ic0_ti1,0.841982269287108
16,76.0,221.0,736.0,1919.0,4662.0,10442.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.11433410644531,2.0,20,16,20,ic0_ti1,0.841982269287108
17,76.0,207.0,568.0,1579.0,4152.0,9718.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,34.9632453918457,2.0,20,16,20,ic0_ti1,0.841982269287108
18,76.0,172.0,469.0,1116.0,2799.0,6626.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.05361557006836,2.0,20,16,20,ic0_ti1,0.841982269287108
19,76.0,200.0,589.0,1587.0,3958.0,9526.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.10039138793945,2.0,20,16,20,ic0_ti1,0.841982269287108
0,76.0,140.0,241.0,325.0,360.0,373.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,35.030303955078125,2.0,20,16,20,ic0_ti2,1.8399654388427749
1,76.0,173.0,539.0,1402.0,3433.0,8015.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,control,35.030303955078125,2.0,20,16,20,ic0_ti2,1.8399654388427749
2,76.0,141.0,227.0,282.0,318.0,326.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,37.05636215209961,2.0,20,16,20,ic0_ti2,1.8399654388427749
3,76.0,152.0,217.0,249.0,264.0,267.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,36.996795654296875,2.0,20,16,20,ic0_ti2,1.8399654388427749
4,76.0,149.0,255.0,323.0,355.0,356.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,37.04830551147461,2.0,20,16,20,ic0_ti2,1.8399654388427749
5,76.0,166.0,285.0,370.0,398.0,409.0,14,35,hybrid,True,52570.52878667177,76.21575707506813,5120,UK,treatment,37.11898422241211,2.0,20,16,20,ic0_ti2,1.8399654388427749
