,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,interventions,location,rand_seed,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
0,92.0,189.0,532.0,1288.0,2995.0,6489.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,none,Niger,1,20.5904598236084,4.916,20,16,20,ic0_a10,0.30592666183471706,10.0
1,92.0,155.0,243.0,302.0,328.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,pfizer,Niger,1,20.5904598236084,4.916,20,16,20,ic0_a10,0.30592666183471706,10.0
2,92.0,164.0,402.0,990.0,2280.0,4895.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,none,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
3,92.0,137.0,185.0,215.0,223.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,pfizer,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
4,92.0,164.0,402.0,990.0,2280.0,4895.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,none,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
5,92.0,155.0,243.0,302.0,328.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,pfizer,Niger,1,20.5904598236084,4.916,20,16,20,ic0_a10,0.30592666183471706,10.0
6,92.0,164.0,402.0,990.0,2280.0,4895.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,none,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
7,92.0,137.0,185.0,215.0,223.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,pfizer,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
8,92.0,164.0,402.0,990.0,2280.0,4895.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,none,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
9,92.0,137.0,185.0,215.0,223.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,43870.15626598048,92.1414216139717,pfizer,Japan,1,47.59712600708008,1.33,20,16,20,ic0_a10,0.30592666183471706,10.0
