,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,interventions,location,rand_seed,avg_age,id,imbalance,alpha
0,103.0,248.0,660.0,1619.0,3676.0,7686.0,0.0,0.0,0.0,2.0,4.0,8.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,Japan,124,47.49371337890625,ic0_a10,0.15000000000000002,10.0
1,103.0,185.0,299.0,363.0,389.0,403.0,0.0,0.0,0.0,2.0,4.0,4.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,Japan,124,47.49371337890625,ic0_a10,0.15000000000000002,10.0
2,103.0,216.0,605.0,1390.0,3051.0,6380.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,New Zealand,3712,39.4136848449707,ic0_a10,0.15000000000000002,10.0
3,103.0,164.0,264.0,323.0,345.0,349.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,New Zealand,3712,39.4136848449707,ic0_a10,0.15000000000000002,10.0
4,103.0,221.0,628.0,1489.0,3247.0,6648.0,0.0,0.0,0.0,0.0,6.0,12.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,France,1600,42.39619064331055,ic0_a10,0.15000000000000002,10.0
5,103.0,166.0,252.0,290.0,300.0,301.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,France,1600,42.39619064331055,ic0_a10,0.15000000000000002,10.0
6,103.0,251.0,689.0,1712.0,4142.0,8773.0,0.0,0.0,0.0,0.0,3.0,5.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,UK,6490,41.33673858642578,ic0_a10,0.15000000000000002,10.0
7,103.0,162.0,226.0,255.0,265.0,270.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,UK,6490,41.33673858642578,ic0_a10,0.15000000000000002,10.0
8,103.0,256.0,606.0,1470.0,3197.0,6526.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,Japan,4683,47.809818267822266,ic0_a10,0.15000000000000002,10.0
9,103.0,189.0,263.0,303.0,317.0,321.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,UK,4683,41.40361404418945,ic0_a10,0.15000000000000002,10.0
10,103.0,263.0,684.0,1642.0,3697.0,7890.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,UK,2713,41.434688568115234,ic0_a10,0.15000000000000002,10.0
11,103.0,178.0,270.0,305.0,316.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,UK,2713,41.434688568115234,ic0_a10,0.15000000000000002,10.0
12,103.0,208.0,459.0,1028.0,2243.0,4831.0,0.0,0.0,0.0,2.0,2.0,4.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,Japan,7873,47.64438247680664,ic0_a10,0.15000000000000002,10.0
13,103.0,151.0,197.0,221.0,231.0,232.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,France,7873,42.299835205078125,ic0_a10,0.15000000000000002,10.0
14,103.0,192.0,454.0,1017.0,2185.0,4558.0,0.0,0.0,0.0,1.0,1.0,2.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,none,Japan,7454,47.543479919433594,ic0_a10,0.15000000000000002,10.0
15,103.0,156.0,207.0,230.0,235.0,236.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,48862.13364970462,103.41337900208156,pfizer,Japan,7454,47.543479919433594,ic0_a10,0.15000000000000002,10.0
