,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,interventions,location,rand_seed,avg_age,id,imbalance,alpha
0,113.0,268.0,628.0,1494.0,3358.0,7275.0,0.0,0.0,0.0,0.0,4.0,8.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,none,Japan,7039,47.74327850341797,ic0_a10,0.2,10.0
1,113.0,169.0,228.0,258.0,271.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,pfizer,Japan,7039,47.74327850341797,ic0_a10,0.2,10.0
2,113.0,261.0,644.0,1574.0,3510.0,7167.0,0.0,0.0,0.0,1.0,3.0,3.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,none,New Zealand,4305,39.19647216796875,ic0_a10,0.2,10.0
3,113.0,192.0,286.0,353.0,382.0,389.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,pfizer,New Zealand,4305,39.19647216796875,ic0_a10,0.2,10.0
4,113.0,244.0,605.0,1455.0,3433.0,7460.0,0.0,0.0,0.0,0.0,4.0,7.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,none,UK,1655,41.2186164855957,ic0_a10,0.2,10.0
5,113.0,180.0,250.0,275.0,290.0,290.0,0.0,0.0,0.0,0.0,2.0,2.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,pfizer,UK,1655,41.2186164855957,ic0_a10,0.2,10.0
6,113.0,235.0,587.0,1249.0,2626.0,5547.0,0.0,0.0,0.0,0.0,3.0,5.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,none,France,4026,42.455078125,ic0_a10,0.2,10.0
7,113.0,184.0,241.0,272.0,283.0,291.0,0.0,0.0,0.0,0.0,2.0,2.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,pfizer,France,4026,42.455078125,ic0_a10,0.2,10.0
8,113.0,250.0,564.0,1151.0,2459.0,4927.0,0.0,0.0,1.0,4.0,4.0,8.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,none,Japan,7361,47.7140007019043,ic0_a10,0.2,10.0
9,113.0,197.0,276.0,301.0,310.0,310.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,hybrid,True,53931.37027515034,113.8556561504848,pfizer,France,7361,42.33502960205078,ic0_a10,0.2,10.0
