,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,interventions,location,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
0,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
1,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
2,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
3,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
4,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
5,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
6,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
7,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
8,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
9,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
10,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
11,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
12,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
13,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
14,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
15,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
16,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
17,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
18,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
19,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
20,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
21,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
22,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
23,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
24,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
25,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
26,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
27,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
28,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
29,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
30,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
31,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
32,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
33,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
34,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
35,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a10,2.7843434333801227,10.0
36,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
37,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a10,2.7843434333801227,10.0
38,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
39,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a10,2.7843434333801227,10.0
0,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a5,0.07559423446654989,5.0
1,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a5,0.07559423446654989,5.0
2,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a5,0.07559423446654989,5.0
