,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,interventions,location,rand_seed,avg_age,id,imbalance,alpha
0,94.0,190.0,492.0,1228.0,2868.0,6284.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,none,UK,3474,41.03630065917969,ic0_a10,0.2,10.0
1,94.0,142.0,208.0,242.0,253.0,254.0,0.0,0.0,0.0,0.0,2.0,2.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,pfizer,UK,3474,41.03630065917969,ic0_a10,0.2,10.0
2,94.0,250.0,689.0,1647.0,3689.0,7594.0,0.0,0.0,0.0,0.0,2.0,6.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,none,Japan,9297,47.39936065673828,ic0_a10,0.2,10.0
3,94.0,161.0,217.0,255.0,267.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,pfizer,Japan,9297,47.39936065673828,ic0_a10,0.2,10.0
4,94.0,215.0,482.0,991.0,2134.0,4431.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,none,France,8523,42.441524505615234,ic0_a10,0.2,10.0
5,94.0,157.0,204.0,222.0,230.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,pfizer,France,8523,42.441524505615234,ic0_a10,0.2,10.0
6,94.0,196.0,499.0,1189.0,2722.0,5836.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,none,New Zealand,4723,39.36513900756836,ic0_a10,0.2,10.0
7,94.0,143.0,194.0,221.0,230.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,pfizer,New Zealand,4723,39.36513900756836,ic0_a10,0.2,10.0
8,94.0,270.0,678.0,1622.0,3791.0,8442.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,none,UK,9696,41.40479278564453,ic0_a10,0.2,10.0
9,94.0,191.0,279.0,336.0,351.0,353.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,True,52270.474073928155,94.0070057395957,pfizer,UK,9696,41.40479278564453,ic0_a10,0.2,10.0
