,height,diameter,bucket_volume,surface_area,water_volume_t0,wind_speed_t0,temperature_t0,water_volume_t1,wind_speed_t1,temperature_t1,water_volume_t2,wind_speed_t2,temperature_t2,water_volume_t3,wind_speed_t3,temperature_t3,water_volume_t4,wind_speed_t4,temperature_t4,water_volume_t5,wind_speed_t5,temperature_t5,water_volume_t6,wind_speed_t6,temperature_t6,water_volume_t7,wind_speed_t7,temperature_t7,water_volume_t8,wind_speed_t8,temperature_t8,water_volume_t9,wind_speed_t9,temperature_t9,temperature_t10,water_volume_t10,wind_speed_t10
0,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,70.0,4.729026081391562,2.0,80.0,4.729026081391562,0.0,50.0,4.729026081391562,0.0,40.0,4.729026081391562,0.0,60.0,0.0332742020137448,2.0,80.0,0.0,1.5,60.0,0.0,2.0,40.0,0.0,0.0,60.0,0.0,1.5,40.0,70.0,0.0,1.5
1,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,70.0,8.447792897776852,1.5,40.0,7.735699856407462,1.0,40.0,6.717122044466652,1.0,50.0,5.553037836273434,0.5,70.0,5.553037836273434,0.0,70.0,3.804006428963888,2.0,50.0,3.804006428963888,0.0,40.0,2.2114370989177665,0.5,80.0,0.0,2.0,60.0,80.0,0.0,2.0
2,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,80.0,9.42477796076938,0.0,50.0,7.675746553459833,2.0,50.0,7.675746553459833,0.0,60.0,6.963653512090443,1.0,40.0,6.963653512090443,0.0,70.0,5.9450757001496335,1.0,50.0,3.9738415797695614,1.5,60.0,2.537072325864097,1.0,60.0,0.0,2.0,70.0,80.0,0.0,0.5
3,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,70.0,8.447792897776852,1.5,40.0,7.470807834784323,1.5,40.0,5.499573714404252,1.5,60.0,3.528339594024181,1.5,60.0,2.816246552654791,1.0,40.0,1.7976687407139815,1.0,50.0,1.7976687407139815,0.0,40.0,0.20509941066786,0.5,80.0,0.20509941066786,0.0,70.0,40.0,0.0,1.5
4,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,60.0,9.42477796076938,0.0,70.0,9.01007861978268,0.5,40.0,7.787321674087483,2.0,40.0,6.810336611094955,1.5,40.0,5.973609908080495,0.5,60.0,3.97472497556508,1.0,70.0,3.381539081565574,0.5,50.0,1.6325076742560276,2.0,50.0,0.0,1.5,60.0,60.0,0.0,0.5
5,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,80.0,8.02729862878758,1.5,50.0,5.292648664970722,1.0,80.0,4.877949323984022,0.5,40.0,3.6551923782888265,2.0,40.0,0.9127407487196022,1.5,70.0,0.0,1.0,50.0,0.0,1.5,60.0,0.0,1.0,50.0,0.0,0.0,80.0,70.0,0.0,1.5
6,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,80.0,9.42477796076938,0.0,80.0,8.58805125775492,0.5,60.0,8.58805125775492,0.0,40.0,6.120930414675536,2.0,60.0,3.653809571596152,2.0,60.0,1.682575451216081,1.5,60.0,0.0,2.0,50.0,0.0,1.5,50.0,0.0,0.0,70.0,50.0,0.0,1.5
7,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,50.0,8.02729862878758,1.5,50.0,8.02729862878758,0.0,50.0,7.61259928780088,0.5,40.0,6.389842342105685,2.0,40.0,3.922721499026301,2.0,60.0,3.085994796011841,0.5,60.0,0.0,2.0,80.0,0.0,0.5,80.0,0.0,1.5,80.0,60.0,0.0,1.0
8,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,60.0,8.58805125775492,0.5,60.0,4.8361368140688885,1.5,80.0,2.8649026936888173,1.5,60.0,0.0,1.5,80.0,0.0,1.5,60.0,0.0,0.5,50.0,0.0,0.0,60.0,0.0,2.0,60.0,0.0,0.5,60.0,40.0,0.0,0.0
9,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,60.0,7.832208630723258,0.5,80.0,6.609451685028063,2.0,40.0,6.609451685028063,0.0,60.0,5.0168823549819415,0.5,80.0,3.619403023000142,1.5,50.0,3.0262171290006363,0.5,50.0,1.0549830086205654,1.5,60.0,1.0549830086205654,0.0,50.0,0.2182563056061054,0.5,60.0,60.0,0.0,1.5
