,height,diameter,bucket_volume,surface_area,water_volume_t0,wind_speed_t0,temperature_t0,water_volume_t1,wind_speed_t1,temperature_t1,water_volume_t2,wind_speed_t2,temperature_t2,water_volume_t3,wind_speed_t3,temperature_t3,water_volume_t4,wind_speed_t4,temperature_t4,water_volume_t5,wind_speed_t5,temperature_t5,water_volume_t6,wind_speed_t6,temperature_t6,water_volume_t7,wind_speed_t7,temperature_t7,water_volume_t8,wind_speed_t8,temperature_t8,water_volume_t9,wind_speed_t9,temperature_t9,temperature_t10,water_volume_t10,wind_speed_t10
0,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,1.0,50.0,265.4427833056089,1.0,60.0,265.4427833056089,0.0,80.0,264.0060140517034,1.0,60.0,262.6085347197216,1.5,50.0,262.6085347197216,0.0,60.0,259.8660830901524,1.5,70.0,257.398962247073,2.0,60.0,255.4000773145576,1.0,70.0,253.80750798451143,0.5,80.0,50.0,253.80750798451143,0.0
1,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,0.0,40.0,266.46485321852765,0.5,40.0,266.05015387754094,0.5,40.0,266.05015387754094,0.0,50.0,264.61338462363545,1.0,60.0,262.8643532163259,2.0,50.0,261.1153218090164,2.0,50.0,258.648200965937,2.0,60.0,257.93610792456764,1.0,40.0,254.5037608956197,2.0,70.0,50.0,253.10628156363796,1.5
2,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,0.0,40.0,265.4427833056089,1.0,60.0,264.0060140517034,1.0,60.0,264.0060140517034,0.0,40.0,262.8419298435102,0.5,70.0,260.8430449109948,1.0,70.0,260.8430449109948,0.0,40.0,260.8430449109948,0.0,40.0,257.09113046730874,1.5,80.0,252.3953785879309,2.0,80.0,40.0,252.3953785879309,0.0
3,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,2.0,40.0,265.71546835132114,0.5,70.0,264.5513841431279,0.5,70.0,261.80893251355866,1.5,70.0,259.81004758104325,1.0,70.0,258.58729063534804,2.0,40.0,255.1549436064001,2.0,70.0,255.1549436064001,0.0,80.0,252.4124919768309,1.5,70.0,250.97572272292547,1.0,60.0,50.0,250.382536828926,0.5
4,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,0.5,70.0,266.8795525595144,0.0,50.0,263.44720553056646,2.0,70.0,260.9800846874871,2.0,60.0,260.14335798447263,0.5,60.0,255.4476061050948,2.0,80.0,253.8550367750487,0.5,80.0,252.10600536773916,2.0,50.0,252.10600536773916,0.0,40.0,250.9419211595459,0.5,70.0,70.0,248.9430362270305,1.0
5,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,0.0,80.0,262.1838006801365,2.0,80.0,261.0197164719433,0.5,70.0,257.2678020282573,1.5,80.0,256.04504508256207,2.0,40.0,256.04504508256207,0.0,80.0,254.45247575251597,0.5,80.0,252.8599064224698,0.5,80.0,252.8599064224698,0.0,40.0,250.1174547929006,1.5,70.0,70.0,250.1174547929006,0.0
6,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,1.5,50.0,265.86097474757355,1.0,50.0,263.1185231180043,1.5,70.0,261.5259537879582,0.5,80.0,260.5489687249657,1.5,40.0,258.55008379245027,1.0,70.0,258.55008379245027,0.0,80.0,257.95689789845073,0.5,50.0,256.7928136902575,0.5,70.0,254.05816372644065,1.0,80.0,60.0,253.2214370234262,0.5
7,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,0.0,80.0,266.28636666551483,0.5,50.0,262.5344522218288,1.5,80.0,261.136972889847,1.5,50.0,260.30024618683257,0.5,60.0,259.2816683748917,1.0,50.0,256.5470184110749,1.0,80.0,253.11467138212697,2.0,70.0,250.37221975255773,1.5,70.0,246.93987272360985,2.0,70.0,50.0,246.93987272360985,0.0
8,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,1.0,60.0,262.1838006801365,2.0,80.0,261.7691013391498,0.5,40.0,260.5463443934546,2.0,40.0,260.5463443934546,0.0,40.0,259.95315849945507,0.5,50.0,259.35997260545554,0.5,50.0,259.35997260545554,0.0,50.0,256.6175209758863,1.5,70.0,255.18075172198084,1.0,60.0,50.0,254.5875658279813,0.5
9,3.0,2.0,266.8795525595144,3.141592653589793,266.8795525595144,2.0,70.0,265.6567956138192,2.0,40.0,265.0636097198196,0.5,50.0,262.32895975600275,1.0,80.0,262.32895975600275,0.0,70.0,262.32895975600275,0.0,60.0,260.73639042595664,0.5,80.0,256.0406385465788,2.0,80.0,255.2039118435644,0.5,60.0,250.50815996418652,2.0,80.0,50.0,249.11068063220475,1.5
