,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
440,20,104.0,219.0,415.0,637.0,829.0,963.0,0.0,76.0,177.0,314.0,438.0,532.0,0.0,2.0,10.0,23.0,39.0,48.0,0.0,1.0,3.0,7.0,14.0,19.0,0.0,0.0,0.0,1.0,3.0,6.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
610,10,101.0,223.0,576.0,1271.0,2706.0,5583.0,0.0,64.0,196.0,484.0,1064.0,2247.0,0.0,0.0,5.0,12.0,48.0,113.0,0.0,0.0,2.0,5.0,18.0,46.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49997.9067815852,101.0044121822941,France,none,35,hybrid,True
1100,20,95.0,139.0,181.0,196.0,200.0,205.0,0.0,53.0,99.0,120.0,125.0,129.0,0.0,1.0,4.0,5.0,6.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50201.0,50201.0,50201.0,50201.0,50201.0,50201.0,14,50201.95375841179,95.3929475480306,Japan,pfizer,35,hybrid,True
1237,7,99.0,199.0,444.0,925.0,2086.0,4484.0,0.0,61.0,157.0,348.0,770.0,1772.0,0.0,0.0,7.0,25.0,60.0,106.0,0.0,0.0,1.0,7.0,22.0,36.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51234.41111932517,99.79926650480289,Japan,none,35,hybrid,True
195,15,88.0,117.0,148.0,173.0,178.0,181.0,0.0,42.0,73.0,87.0,98.0,100.0,0.0,0.0,6.0,9.0,12.0,12.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
132,12,98.0,260.0,693.0,1730.0,4234.0,9298.0,0.0,55.0,214.0,590.0,1446.0,3472.0,0.0,0.0,11.0,20.0,54.0,135.0,0.0,0.0,1.0,4.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48877.15583154997,98.24847085902476,China,none,35,hybrid,True
1098,18,95.0,129.0,153.0,164.0,171.0,172.0,0.0,71.0,96.0,106.0,113.0,115.0,0.0,5.0,14.0,18.0,19.0,19.0,0.0,1.0,6.0,9.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,3.0,50201.0,50201.0,50201.0,50201.0,50201.0,50201.0,14,50201.95375841179,95.3929475480306,Japan,pfizer,35,hybrid,True
392,2,96.0,131.0,168.0,184.0,188.0,189.0,0.0,58.0,96.0,108.0,117.0,117.0,0.0,2.0,5.0,11.0,11.0,11.0,0.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25181.0,50129.0,50306.0,50307.0,50307.0,50307.0,14,50307.4916033199,96.84873311265744,China,pfizer,35,hybrid,True
1247,17,99.0,220.0,534.0,1288.0,2730.0,5790.0,0.0,61.0,173.0,457.0,1050.0,2327.0,0.0,1.0,6.0,18.0,54.0,140.0,0.0,0.0,3.0,6.0,20.0,45.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51234.41111932517,99.79926650480289,Japan,none,35,hybrid,True
15,15,105.0,159.0,212.0,241.0,248.0,253.0,0.0,70.0,119.0,149.0,166.0,169.0,0.0,0.0,10.0,14.0,15.0,15.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24402.0,48534.0,48739.0,48739.0,48739.0,48739.0,14,48739.63476718004,105.75946387602237,China,moderna,35,hybrid,True
