,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,id,imbalance
0,88.0,175.0,311.0,386.0,415.0,425.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
1,88.0,254.0,726.0,1696.0,3890.0,7955.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,control,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
2,88.0,175.0,311.0,386.0,415.0,425.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
3,88.0,148.0,213.0,261.0,276.0,283.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.12188720703125,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
4,88.0,117.0,152.0,176.0,180.0,182.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.039207458496094,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
5,88.0,156.0,233.0,263.0,277.0,282.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.9856071472168,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
6,88.0,147.0,222.0,255.0,268.0,274.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.9743537902832,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
7,88.0,185.0,278.0,327.0,343.0,347.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.01909637451172,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
8,88.0,144.0,200.0,240.0,254.0,263.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.80027389526367,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
9,88.0,141.0,225.0,267.0,286.0,290.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.0583610534668,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
10,88.0,159.0,243.0,283.0,295.0,296.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.119110107421875,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti0,0.06221847534179403
0,88.0,175.0,311.0,386.0,415.0,425.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
1,88.0,254.0,726.0,1696.0,3890.0,7955.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,control,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
2,88.0,175.0,311.0,386.0,415.0,425.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
3,88.0,148.0,213.0,261.0,276.0,283.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.12188720703125,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
4,88.0,117.0,152.0,176.0,180.0,182.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.039207458496094,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
5,88.0,156.0,233.0,263.0,277.0,282.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.9856071472168,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
6,88.0,147.0,222.0,255.0,268.0,274.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.9743537902832,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
7,88.0,185.0,278.0,327.0,343.0,347.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.01909637451172,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
8,88.0,144.0,200.0,240.0,254.0,263.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,34.80027389526367,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
9,88.0,141.0,225.0,267.0,286.0,290.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.0583610534668,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
10,88.0,159.0,243.0,283.0,295.0,296.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.119110107421875,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti1,0.06221847534179403
0,88.0,175.0,311.0,386.0,415.0,425.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,treatment,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti2,0.06221847534179403
1,88.0,254.0,726.0,1696.0,3890.0,7955.0,14,35,hybrid,True,45632.14296968056,88.08230806783037,9131,UK,control,35.09251022338867,2.0,20,16,20,"{'0-9': 6438, '10-19': 7169, '20-29': 6559, '30-39': 7044, '40-49': 6431, '50-59': 5791, '60-69': 3743, '70-79': 1758, '80+': 696}",ic0_ti2,0.06221847534179403
