,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,rand_seed,id,imbalance
0,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti0,0.0
1,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti0,0.0
2,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti0,0.0
3,94.0,171.0,248.0,293.0,316.0,324.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.839447021484375,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",2,ic0_ti0,0.0
4,94.0,161.0,258.0,300.0,314.0,317.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.147918701171875,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",3,ic0_ti0,0.0
5,94.0,165.0,241.0,279.0,290.0,294.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.95063781738281,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",4,ic0_ti0,0.0
6,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti0,0.0
7,94.0,226.0,610.0,1528.0,3565.0,7354.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.839447021484375,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",2,ic0_ti0,0.0
8,94.0,204.0,520.0,1329.0,3217.0,7107.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,35.147918701171875,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",3,ic0_ti0,0.0
9,94.0,230.0,594.0,1477.0,3398.0,7229.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.95063781738281,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",4,ic0_ti0,0.0
0,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti1,0.0
1,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti1,0.0
2,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti1,0.0
3,94.0,171.0,248.0,293.0,316.0,324.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.839447021484375,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",2,ic0_ti1,0.0
4,94.0,161.0,258.0,300.0,314.0,317.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.147918701171875,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",3,ic0_ti1,0.0
5,94.0,165.0,241.0,279.0,290.0,294.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.95063781738281,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",4,ic0_ti1,0.0
6,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti1,0.0
7,94.0,226.0,610.0,1528.0,3565.0,7354.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.839447021484375,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",2,ic0_ti1,0.0
8,94.0,204.0,520.0,1329.0,3217.0,7107.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,35.147918701171875,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",3,ic0_ti1,0.0
9,94.0,230.0,594.0,1477.0,3398.0,7229.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.95063781738281,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",4,ic0_ti1,0.0
0,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti2,0.29113082885741903
1,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti2,0.29113082885741903
2,94.0,154.0,230.0,269.0,281.0,284.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.06568145751953,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",1,ic0_ti2,0.29113082885741903
3,94.0,166.0,249.0,291.0,303.0,313.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.996097564697266,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",2,ic0_ti2,0.29113082885741903
4,94.0,156.0,222.0,264.0,280.0,284.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.285037994384766,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",3,ic0_ti2,0.29113082885741903
5,94.0,157.0,223.0,252.0,258.0,259.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.09231948852539,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",4,ic0_ti2,0.29113082885741903
6,94.0,207.0,564.0,1417.0,3312.0,7224.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.711204528808594,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",1,ic0_ti2,0.29113082885741903
7,94.0,221.0,572.0,1454.0,3429.0,7314.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.6139030456543,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",2,ic0_ti2,0.29113082885741903
8,94.0,203.0,620.0,1605.0,3848.0,8143.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.92732238769531,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",3,ic0_ti2,0.29113082885741903
9,94.0,225.0,511.0,1212.0,2942.0,6342.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.73105239868164,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",4,ic0_ti2,0.29113082885741903
0,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti3,0.29113082885741903
1,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti3,0.29113082885741903
2,94.0,154.0,230.0,269.0,281.0,284.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.06568145751953,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",1,ic0_ti3,0.29113082885741903
3,94.0,166.0,249.0,291.0,303.0,313.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.996097564697266,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",2,ic0_ti3,0.29113082885741903
4,94.0,156.0,222.0,264.0,280.0,284.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.285037994384766,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",3,ic0_ti3,0.29113082885741903
5,94.0,157.0,223.0,252.0,258.0,259.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.09231948852539,2.0,20,16,20,"{'0-9': 6203, '10-19': 6487, '20-29': 6486, '30-39': 6230, '40-49': 6130, '50-59': 5248, '60-69': 3423, '70-79': 1997, '80+': 664}",4,ic0_ti3,0.29113082885741903
6,94.0,207.0,564.0,1417.0,3312.0,7224.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.711204528808594,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",1,ic0_ti3,0.29113082885741903
7,94.0,221.0,572.0,1454.0,3429.0,7314.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.6139030456543,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",2,ic0_ti3,0.29113082885741903
8,94.0,203.0,620.0,1605.0,3848.0,8143.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.92732238769531,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",3,ic0_ti3,0.29113082885741903
9,94.0,225.0,511.0,1212.0,2942.0,6342.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.73105239868164,2.0,20,16,20,"{'0-9': 6946, '10-19': 6044, '20-29': 5854, '30-39': 6315, '40-49': 6483, '50-59': 5657, '60-69': 3448, '70-79': 1397, '80+': 723}",4,ic0_ti3,0.29113082885741903
0,94.0,163.0,239.0,283.0,300.0,304.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti4,0.49433135986328125
1,94.0,201.0,519.0,1304.0,3002.0,6697.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.93697738647461,2.0,20,16,20,"{'0-9': 6049, '10-19': 6735, '20-29': 6162, '30-39': 6618, '40-49': 6041, '50-59': 5440, '60-69': 3516, '70-79': 1651, '80+': 654}",1,ic0_ti4,0.49433135986328125
2,94.0,153.0,217.0,249.0,265.0,269.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.10310745239258,2.0,20,16,20,"{'0-9': 6161, '10-19': 6733, '20-29': 6763, '30-39': 6071, '40-49': 5597, '50-59': 5250, '60-69': 3545, '70-79': 1740, '80+': 1006}",1,ic0_ti4,0.49433135986328125
3,94.0,173.0,263.0,299.0,306.0,310.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.01198196411133,2.0,20,16,20,"{'0-9': 6161, '10-19': 6733, '20-29': 6763, '30-39': 6071, '40-49': 5597, '50-59': 5250, '60-69': 3545, '70-79': 1740, '80+': 1006}",2,ic0_ti4,0.49433135986328125
4,94.0,152.0,235.0,270.0,282.0,284.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.297637939453125,2.0,20,16,20,"{'0-9': 6161, '10-19': 6733, '20-29': 6763, '30-39': 6071, '40-49': 5597, '50-59': 5250, '60-69': 3545, '70-79': 1740, '80+': 1006}",3,ic0_ti4,0.49433135986328125
5,94.0,166.0,269.0,331.0,342.0,344.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,treatment,35.11070251464844,2.0,20,16,20,"{'0-9': 6161, '10-19': 6733, '20-29': 6763, '30-39': 6071, '40-49': 5597, '50-59': 5250, '60-69': 3545, '70-79': 1740, '80+': 1006}",4,ic0_ti4,0.49433135986328125
6,94.0,189.0,454.0,1015.0,2356.0,5072.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.50122833251953,2.0,20,16,20,"{'0-9': 6853, '10-19': 6898, '20-29': 6866, '30-39': 5546, '40-49': 5063, '50-59': 5121, '60-69': 3640, '70-79': 1975, '80+': 905}",1,ic0_ti4,0.49433135986328125
7,94.0,236.0,679.0,1729.0,4045.0,8605.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.36420440673828,2.0,20,16,20,"{'0-9': 6853, '10-19': 6898, '20-29': 6866, '30-39': 5546, '40-49': 5063, '50-59': 5121, '60-69': 3640, '70-79': 1975, '80+': 905}",2,ic0_ti4,0.49433135986328125
8,94.0,196.0,550.0,1254.0,2883.0,6239.0,14,35,hybrid,True,42871.43594054324,94.23061460649498,UK,control,34.69536590576172,2.0,20,16,20,"{'0-9': 6853, '10-19': 6898, '20-29': 6866, '30-39': 5546, '40-49': 5063, '50-59': 5121, '60-69': 3640, '70-79': 1975, '80+': 905}",3,ic0_ti4,0.49433135986328125
