,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,use_waning,pop_type,pop_size,pop_infected,location,interventions,imbalance
0,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,,
1,100.0,245.0,559.0,1234.0,2639.0,5182.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,True,hybrid,50000,100,Japan,,
2,100.0,205.0,522.0,1204.0,2595.0,5356.0,0.0,0.0,0.0,1.0,4.0,4.0,14,35,True,hybrid,50000,100,Japan,,
3,100.0,183.0,428.0,1000.0,2405.0,5305.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,True,hybrid,50000,100,Japan,,
4,100.0,234.0,509.0,1105.0,2493.0,5330.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,True,hybrid,50000,100,Japan,,
0,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
1,100.0,168.0,231.0,263.0,280.0,284.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
2,100.0,145.0,229.0,253.0,268.0,269.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
3,100.0,139.0,179.0,198.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
4,100.0,148.0,198.0,240.0,249.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,True,hybrid,50000,100,2,"cv.vaccinate_prob(vaccine=pfizer, label=None)",
0,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,,
