,intervention,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,pop_type,pop_size,pop_infected,start_day,end_day,location
0,Baseline,40937.0,0.0,40931.0,28115.0,2574.0,866.0,40503.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009070569027030296,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
1,Baseline,40966.0,0.0,40959.0,28266.0,2682.0,925.0,40458.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017145047098452912,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
2,Baseline,41297.0,0.0,41289.0,28547.0,2662.0,882.0,40839.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014512032893941227,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
3,Baseline,41076.0,0.0,41063.0,28395.0,2645.0,882.0,40605.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001773585666203116,0.00022411474675033618,0.2611938441736654,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
4,Baseline,41262.0,0.0,41257.0,28375.0,2656.0,897.0,40823.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001068246865804007,0.00011444266422522316,0.2040345626285524,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
5,Baseline,40960.0,0.0,40955.0,28261.0,2702.0,900.0,40535.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011484526112185687,0.00011061946902654867,0.18905213799411455,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
6,Baseline,41311.0,0.0,41305.0,28456.0,2617.0,902.0,40863.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013502892037324413,0.00023017608470479918,0.3211544797185229,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
7,Baseline,40954.0,0.0,40951.0,28260.0,2682.0,898.0,40485.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010487465461952686,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
8,Baseline,41027.0,0.0,41020.0,28189.0,2676.0,917.0,40590.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008869715967504586,0.00033433634236041456,0.7942159283407119,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
9,Baseline,41099.0,0.0,41088.0,28404.0,2672.0,914.0,40654.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013502075692233284,0.00011234692731153803,0.1754244364338968,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
10,Baseline,40955.0,0.0,40947.0,28138.0,2675.0,878.0,40506.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011288729413187655,0.0001105583195135434,0.20473837425939748,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
11,Baseline,41284.0,0.0,41277.0,28331.0,2616.0,938.0,40803.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011698973314238457,0.00011473152822395595,0.1917791889958278,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
12,Baseline,41396.0,0.0,41393.0,28493.0,2651.0,887.0,40954.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012494961708988312,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
13,Baseline,41144.0,0.0,41136.0,28427.0,2628.0,895.0,40677.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016124805998427832,0.00011291779584462511,0.13586526258170534,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
14,Baseline,40937.0,0.0,40933.0,28145.0,2712.0,914.0,40483.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011491240449166382,0.00011033873993158998,0.18529762062399094,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
15,Baseline,41244.0,0.0,41232.0,28544.0,2777.0,929.0,40794.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014308458112492694,0.00011420740063956144,0.16682692422817183,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
16,Baseline,41005.0,0.0,40995.0,28291.0,2647.0,909.0,40518.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001290921193295278,0.00033351862145636465,0.5444727902779561,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
17,Baseline,41213.0,0.0,41200.0,28233.0,2694.0,896.0,40758.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001169284115880088,0.0003414134516899966,0.6536269996351118,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
18,Baseline,40980.0,0.0,40971.0,28246.0,2636.0,900.0,40532.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009475997499949596,0.00022172949002217295,0.5157844006177214,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
19,Baseline,40564.0,0.0,40558.0,28151.0,2565.0,883.0,40117.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014307593100112849,0.000105977108944468,0.1511492192416346,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
20,Baseline,41066.0,0.0,41060.0,28310.0,2686.0,919.0,40617.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001108736846349232,0.00011193194537721066,0.2002093215877243,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
21,Baseline,41055.0,0.0,41050.0,28222.0,2679.0,898.0,40594.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010687207614131311,0.00011179429849077697,0.20442397963297212,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
22,Baseline,41083.0,0.0,41082.0,28414.0,2644.0,920.0,40670.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005039103442715472,0.000112145340361108,0.40735529155957767,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
23,Baseline,40930.0,0.0,40930.0,28100.0,2639.0,897.0,40512.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007054033899671484,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
24,Baseline,41201.0,0.0,41197.0,28263.0,2658.0,906.0,40753.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011892523835439722,0.00011364927832708262,0.17817001018827966,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
25,Baseline,41086.0,0.0,41082.0,28279.0,2698.0,910.0,40637.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007058443915621345,0.0001121830827911151,0.31632945363150955,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
26,Baseline,41211.0,0.0,41206.0,28301.0,2632.0,884.0,40764.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145088161209068,0.00011377858686995108,0.14586787219611852,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
27,Baseline,41177.0,0.0,41166.0,28289.0,2640.0,914.0,40738.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009877040919169522,0.00011334013374135781,0.25708388605690025,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
28,Baseline,41272.0,0.0,41267.0,28320.0,2659.0,941.0,40789.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006659939455095862,0.00011457378551787351,0.3499718949804262,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
29,Baseline,41041.0,0.0,41037.0,28293.0,2640.0,906.0,40595.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080654917933621,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
30,Baseline,41246.0,0.0,41242.0,28510.0,2585.0,858.0,40829.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000826213122682573,0.0001142334932602239,0.2644849138689677,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
31,Baseline,41497.0,0.0,41496.0,28582.0,2599.0,874.0,41077.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008061265618702137,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
32,Baseline,41197.0,0.0,41191.0,28311.0,2672.0,879.0,40763.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001128531699649349,0.00011359763716914689,0.19603316868675852,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
33,Baseline,41204.0,0.0,41199.0,28442.0,2665.0,878.0,40764.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012293182322000765,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
34,Baseline,40952.0,0.0,40946.0,28140.0,2592.0,852.0,40526.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001289334783834965,0.00011052166224580017,0.16868650211333214,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
35,Baseline,41271.0,0.0,41264.0,28345.0,2617.0,839.0,40860.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011883660973251691,0.00011456065986940085,0.18822867691751494,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
36,Baseline,41274.0,0.0,41274.0,28289.0,2623.0,920.0,40847.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006853871429435362,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
37,Baseline,40803.0,0.0,40795.0,28069.0,2654.0,901.0,40364.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001390288132178118,0.00021746221593998044,0.3215023050602209,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
38,Baseline,41295.0,0.0,41293.0,28570.0,2705.0,916.0,40832.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011896120654891523,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
39,Baseline,41252.0,0.0,41246.0,28366.0,2629.0,854.0,40833.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009873060648801129,0.00011431184270690443,0.22768845139550842,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
40,Baseline,41155.0,0.0,41148.0,28412.0,2672.0,946.0,40727.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009874851373410452,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
41,Baseline,40964.0,0.0,40960.0,28145.0,2679.0,887.0,40531.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009875846501128669,0.00011066843736166445,0.21788066803689662,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
42,Baseline,40859.0,0.0,40857.0,28117.0,2535.0,873.0,40437.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008665685899115294,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
