,intervention,cum_infections,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_tests,cum_quarantined,pop_type,pop_size,pop_infected,n_days,location
0,Baseline,40584.0,27676.0,2452.0,810.0,307.0,0.0,0.0,hybrid,50000,100,84,UK
1,Baseline,40206.0,27317.0,2476.0,820.0,305.0,0.0,0.0,hybrid,50000,100,84,UK
2,Baseline,40640.0,27675.0,2468.0,808.0,272.0,0.0,0.0,hybrid,50000,100,84,UK
3,Baseline,40372.0,27446.0,2427.0,787.0,265.0,0.0,0.0,hybrid,50000,100,84,UK
4,Baseline,40751.0,27725.0,2504.0,832.0,288.0,0.0,0.0,hybrid,50000,100,84,UK
5,Baseline,40381.0,27513.0,2508.0,817.0,283.0,0.0,0.0,hybrid,50000,100,84,UK
6,Baseline,40884.0,27919.0,2484.0,837.0,294.0,0.0,0.0,hybrid,50000,100,84,UK
7,Baseline,40359.0,27540.0,2526.0,836.0,320.0,0.0,0.0,hybrid,50000,100,84,UK
8,Baseline,40722.0,27801.0,2553.0,859.0,319.0,0.0,0.0,hybrid,50000,100,84,UK
9,Baseline,40556.0,27684.0,2495.0,837.0,282.0,0.0,0.0,hybrid,50000,100,84,UK
0,Standard testing,30672.0,20165.0,1719.0,544.0,172.0,20085.0,0.0,hybrid,50000,100,84,UK
1,Standard testing,29048.0,18864.0,1436.0,459.0,135.0,18683.0,0.0,hybrid,50000,100,84,UK
2,Standard testing,29637.0,18885.0,1486.0,484.0,144.0,18787.0,0.0,hybrid,50000,100,84,UK
3,Standard testing,27593.0,17366.0,1364.0,406.0,119.0,17323.0,0.0,hybrid,50000,100,84,UK
4,Standard testing,30650.0,19944.0,1610.0,484.0,176.0,19758.0,0.0,hybrid,50000,100,84,UK
5,Standard testing,25913.0,15892.0,1158.0,342.0,89.0,16425.0,0.0,hybrid,50000,100,84,UK
6,Standard testing,28563.0,18254.0,1342.0,429.0,109.0,18187.0,0.0,hybrid,50000,100,84,UK
7,Standard testing,29408.0,19064.0,1545.0,464.0,139.0,19009.0,0.0,hybrid,50000,100,84,UK
8,Standard testing,29910.0,19694.0,1649.0,507.0,168.0,19566.0,0.0,hybrid,50000,100,84,UK
9,Standard testing,29832.0,19477.0,1573.0,498.0,140.0,19378.0,0.0,hybrid,50000,100,84,UK
0,Standard tracing,3741.0,2378.0,202.0,58.0,18.0,33540.0,28320.0,hybrid,50000,100,84,UK
1,Standard tracing,2888.0,1800.0,153.0,46.0,14.0,26537.0,21539.0,hybrid,50000,100,84,UK
2,Standard tracing,4877.0,3153.0,261.0,73.0,30.0,40506.0,34719.0,hybrid,50000,100,84,UK
3,Standard tracing,2641.0,1623.0,133.0,44.0,16.0,24992.0,20321.0,hybrid,50000,100,84,UK
4,Standard tracing,3640.0,2352.0,185.0,59.0,22.0,32488.0,27167.0,hybrid,50000,100,84,UK
5,Standard tracing,3375.0,2074.0,162.0,54.0,10.0,29406.0,24363.0,hybrid,50000,100,84,UK
6,Standard tracing,4547.0,2872.0,226.0,79.0,25.0,37070.0,31681.0,hybrid,50000,100,84,UK
7,Standard tracing,3347.0,2115.0,199.0,63.0,18.0,30381.0,25266.0,hybrid,50000,100,84,UK
8,Standard tracing,3811.0,2427.0,191.0,52.0,15.0,33699.0,28443.0,hybrid,50000,100,84,UK
9,Standard tracing,3410.0,2096.0,179.0,55.0,19.0,30334.0,25095.0,hybrid,50000,100,84,UK
0,No testing,40531.0,27445.0,2554.0,844.0,316.0,0.0,0.0,hybrid,50000,100,84,UK
1,No testing,40255.0,27383.0,2385.0,773.0,254.0,0.0,0.0,hybrid,50000,100,84,UK
2,No testing,40760.0,27814.0,2478.0,827.0,285.0,0.0,0.0,hybrid,50000,100,84,UK
3,No testing,40532.0,27505.0,2442.0,789.0,280.0,0.0,0.0,hybrid,50000,100,84,UK
4,No testing,40911.0,27765.0,2515.0,830.0,289.0,0.0,0.0,hybrid,50000,100,84,UK
5,No testing,40513.0,27470.0,2452.0,807.0,261.0,0.0,0.0,hybrid,50000,100,84,UK
