,cum_tests_1,cum_tests_2,cum_tests_3,cum_tests_4,cum_tests_5,cum_tests_6,cum_tests_7,cum_tests_8,cum_tests_9,cum_tests_10,cum_tests_11,cum_tests_12,cum_tests_13,n_quarantined_1,n_quarantined_2,n_quarantined_3,n_quarantined_4,n_quarantined_5,n_quarantined_6,n_quarantined_7,n_quarantined_8,n_quarantined_9,n_quarantined_10,n_quarantined_11,n_quarantined_12,n_quarantined_13,n_exposed_1,n_exposed_2,n_exposed_3,n_exposed_4,n_exposed_5,n_exposed_6,n_exposed_7,n_exposed_8,n_exposed_9,n_exposed_10,n_exposed_11,n_exposed_12,n_exposed_13,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_infections_7,cum_infections_8,cum_infections_9,cum_infections_10,cum_infections_11,cum_infections_12,cum_infections_13,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_symptomatic_7,cum_symptomatic_8,cum_symptomatic_9,cum_symptomatic_10,cum_symptomatic_11,cum_symptomatic_12,cum_symptomatic_13,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_severe_7,cum_severe_8,cum_severe_9,cum_severe_10,cum_severe_11,cum_severe_12,cum_severe_13,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_critical_7,cum_critical_8,cum_critical_9,cum_critical_10,cum_critical_11,cum_critical_12,cum_critical_13,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_deaths_7,cum_deaths_8,cum_deaths_9,cum_deaths_10,cum_deaths_11,cum_deaths_12,cum_deaths_13,quar_period,n_days,pop_type,pop_size,pop_infected,location,interventions
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,864.0,1903.0,4162.0,8106.0,12972.0,15567.0,13367.0,8877.0,4795.0,2278.0,1023.0,901.0,151.0,387.0,1079.0,2585.0,5810.0,11768.0,20030.0,28067.0,33523.0,36434.0,37774.0,38367.0,38592.0,0.0,92.0,296.0,769.0,1909.0,4192.0,8151.0,13447.0,17984.0,20844.0,22362.0,23059.0,23350.0,0.0,0.0,5.0,16.0,37.0,110.0,200.0,361.0,547.0,683.0,798.0,848.0,868.0,0.0,0.0,2.0,2.0,8.0,15.0,36.0,67.0,108.0,130.0,153.0,171.0,180.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,13.0,17.0,32.0,43.0,52.0,58.0,14,84,hybrid,50000,151,Rwanda,[]
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,643.0,1387.0,2962.0,5845.0,10092.0,13882.0,14635.0,11360.0,6793.0,3492.0,1685.0,1512.0,151.0,333.0,833.0,1913.0,4189.0,8520.0,15319.0,23487.0,30456.0,34659.0,36769.0,37755.0,38180.0,0.0,80.0,264.0,639.0,1467.0,3137.0,6173.0,10668.0,15586.0,19536.0,21735.0,22821.0,23286.0,0.0,1.0,3.0,10.0,29.0,67.0,141.0,256.0,431.0,597.0,727.0,809.0,853.0,0.0,0.0,1.0,2.0,2.0,8.0,21.0,36.0,61.0,94.0,127.0,145.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,12.0,18.0,29.0,36.0,14,84,hybrid,50000,151,Rwanda,[]
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,726.0,1598.0,3282.0,6594.0,11311.0,15154.0,14826.0,10671.0,6061.0,2808.0,1152.0,1008.0,151.0,343.0,930.0,2166.0,4771.0,9605.0,17279.0,25797.0,32487.0,36191.0,37916.0,38573.0,38854.0,0.0,85.0,274.0,737.0,1635.0,3497.0,6925.0,11821.0,16927.0,20479.0,22415.0,23283.0,23589.0,0.0,0.0,2.0,12.0,34.0,74.0,160.0,288.0,473.0,651.0,755.0,813.0,843.0,0.0,0.0,1.0,4.0,7.0,11.0,25.0,47.0,80.0,103.0,129.0,143.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,17.0,26.0,30.0,36.0,14,84,hybrid,50000,151,Rwanda,[]
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,516.0,1166.0,2581.0,4996.0,8985.0,13457.0,15055.0,12362.0,7949.0,4186.0,2028.0,1808.0,151.0,279.0,690.0,1638.0,3645.0,7376.0,13668.0,21901.0,29354.0,34232.0,36813.0,37973.0,38490.0,0.0,97.0,213.0,531.0,1224.0,2661.0,5278.0,9504.0,14536.0,18836.0,21467.0,22793.0,23377.0,0.0,0.0,4.0,9.0,20.0,57.0,129.0,233.0,392.0,543.0,691.0,769.0,803.0,0.0,0.0,0.0,0.0,2.0,11.0,24.0,44.0,71.0,95.0,121.0,140.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,23.0,27.0,35.0,38.0,14,84,hybrid,50000,151,Rwanda,[]
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,579.0,1229.0,2806.0,5887.0,10662.0,15010.0,15372.0,11435.0,6711.0,3439.0,1610.0,1410.0,151.0,326.0,771.0,1766.0,3996.0,8489.0,15847.0,24593.0,31607.0,35766.0,37814.0,38722.0,39124.0,0.0,77.0,235.0,569.0,1324.0,2951.0,6167.0,11011.0,16238.0,20060.0,22309.0,23382.0,23826.0,0.0,0.0,2.0,14.0,27.0,69.0,145.0,269.0,452.0,613.0,765.0,833.0,866.0,0.0,0.0,0.0,0.0,3.0,9.0,22.0,37.0,69.0,98.0,124.0,139.0,145.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,11.0,16.0,27.0,35.0,38.0,14,84,hybrid,50000,151,Rwanda,[]
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,623.0,1279.0,2581.0,5081.0,9270.0,13538.0,14857.0,11833.0,7294.0,3882.0,1888.0,1675.0,151.0,341.0,821.0,1780.0,3767.0,7568.0,14042.0,22296.0,29514.0,34049.0,36345.0,37465.0,37975.0,0.0,74.0,260.0,615.0,1316.0,2743.0,5475.0,9880.0,14836.0,18840.0,21219.0,22393.0,22990.0,0.0,0.0,3.0,9.0,37.0,69.0,126.0,247.0,409.0,546.0,677.0,739.0,776.0,0.0,0.0,1.0,1.0,5.0,10.0,22.0,49.0,86.0,115.0,151.0,168.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,19.0,35.0,46.0,62.0,14,84,hybrid,50000,151,Rwanda,[]
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,646.0,1474.0,3285.0,6396.0,10645.0,14669.0,14852.0,10947.0,6377.0,3222.0,1464.0,1336.0,151.0,340.0,870.0,2079.0,4642.0,9300.0,16511.0,24932.0,31790.0,35718.0,37611.0,38478.0,38843.0,0.0,75.0,252.0,646.0,1555.0,3334.0,6556.0,11270.0,16194.0,19858.0,21882.0,22844.0,23305.0,0.0,0.0,6.0,17.0,40.0,72.0,171.0,315.0,477.0,659.0,781.0,846.0,876.0,0.0,0.0,1.0,3.0,5.0,11.0,30.0,49.0,73.0,106.0,139.0,158.0,166.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,10.0,17.0,22.0,30.0,38.0,46.0,14,84,hybrid,50000,151,Rwanda,[]
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,810.0,1717.0,3616.0,7321.0,11905.0,14715.0,13720.0,9862.0,5644.0,2886.0,1424.0,1316.0,151.0,370.0,1012.0,2341.0,5176.0,10532.0,18286.0,26198.0,32146.0,35587.0,37276.0,38102.0,38491.0,0.0,82.0,284.0,757.0,1752.0,3816.0,7446.0,12372.0,16982.0,20251.0,22048.0,22904.0,23361.0,0.0,0.0,2.0,13.0,36.0,77.0,168.0,319.0,506.0,664.0,777.0,838.0,864.0,0.0,0.0,0.0,5.0,10.0,19.0,33.0,64.0,94.0,128.0,151.0,165.0,170.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,14.0,19.0,30.0,43.0,50.0,14,84,hybrid,50000,151,Rwanda,[]
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,883.0,2089.0,4576.0,8835.0,13281.0,15307.0,13179.0,8700.0,4598.0,2250.0,1097.0,980.0,151.0,383.0,1116.0,2766.0,6367.0,12712.0,20827.0,28762.0,34025.0,36847.0,38178.0,38784.0,39060.0,0.0,83.0,312.0,871.0,2146.0,4720.0,8970.0,14062.0,18603.0,21434.0,22871.0,23561.0,23866.0,0.0,1.0,7.0,15.0,44.0,92.0,212.0,387.0,573.0,716.0,801.0,865.0,888.0,0.0,1.0,5.0,5.0,8.0,18.0,32.0,66.0,101.0,131.0,152.0,167.0,178.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,12.0,20.0,28.0,45.0,52.0,62.0,14,84,hybrid,50000,151,Rwanda,[]
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,757.0,1622.0,3379.0,6802.0,11054.0,14525.0,14135.0,10287.0,5997.0,3128.0,1516.0,1358.0,151.0,386.0,952.0,2243.0,4887.0,9868.0,17140.0,25263.0,31617.0,35261.0,37109.0,37969.0,38388.0,0.0,71.0,284.0,724.0,1634.0,3585.0,6966.0,11591.0,16418.0,19865.0,21762.0,22726.0,23154.0,0.0,0.0,5.0,20.0,48.0,85.0,177.0,322.0,489.0,668.0,771.0,822.0,852.0,0.0,0.0,0.0,2.0,3.0,7.0,23.0,47.0,82.0,114.0,136.0,148.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,9.0,15.0,32.0,40.0,46.0,14,84,hybrid,50000,151,Rwanda,[]
