t,date,cum_infections,cum_infections_low,cum_infections_high,cum_reinfections,cum_reinfections_low,cum_reinfections_high,cum_infectious,cum_infectious_low,cum_infectious_high,cum_symptomatic,cum_symptomatic_low,cum_symptomatic_high,cum_severe,cum_severe_low,cum_severe_high,cum_critical,cum_critical_low,cum_critical_high,cum_recoveries,cum_recoveries_low,cum_recoveries_high,cum_deaths,cum_deaths_low,cum_deaths_high,cum_tests,cum_tests_low,cum_tests_high,cum_diagnoses,cum_diagnoses_low,cum_diagnoses_high,cum_known_deaths,cum_known_deaths_low,cum_known_deaths_high,cum_quarantined,cum_quarantined_low,cum_quarantined_high,cum_vaccinations,cum_vaccinations_low,cum_vaccinations_high,cum_vaccinated,cum_vaccinated_low,cum_vaccinated_high,new_infections,new_infections_low,new_infections_high,new_reinfections,new_reinfections_low,new_reinfections_high,new_infectious,new_infectious_low,new_infectious_high,new_symptomatic,new_symptomatic_low,new_symptomatic_high,new_severe,new_severe_low,new_severe_high,new_critical,new_critical_low,new_critical_high,new_recoveries,new_recoveries_low,new_recoveries_high,new_deaths,new_deaths_low,new_deaths_high,new_tests,new_tests_low,new_tests_high,new_diagnoses,new_diagnoses_low,new_diagnoses_high,new_known_deaths,new_known_deaths_low,new_known_deaths_high,new_quarantined,new_quarantined_low,new_quarantined_high,new_vaccinations,new_vaccinations_low,new_vaccinations_high,new_vaccinated,new_vaccinated_low,new_vaccinated_high,n_susceptible,n_susceptible_low,n_susceptible_high,n_exposed,n_exposed_low,n_exposed_high,n_infectious,n_infectious_low,n_infectious_high,n_symptomatic,n_symptomatic_low,n_symptomatic_high,n_severe,n_severe_low,n_severe_high,n_critical,n_critical_low,n_critical_high,n_recovered,n_recovered_low,n_recovered_high,n_dead,n_dead_low,n_dead_high,n_diagnosed,n_diagnosed_low,n_diagnosed_high,n_known_dead,n_known_dead_low,n_known_dead_high,n_quarantined,n_quarantined_low,n_quarantined_high,n_vaccinated,n_vaccinated_low,n_vaccinated_high,n_alive,n_alive_low,n_alive_high,n_naive,n_naive_low,n_naive_high,n_preinfectious,n_preinfectious_low,n_preinfectious_high,n_removed,n_removed_low,n_removed_high,prevalence,prevalence_low,prevalence_high,incidence,incidence_low,incidence_high,r_eff,r_eff_low,r_eff_high,doubling_time,doubling_time_low,doubling_time_high,test_yield,test_yield_low,test_yield_high,rel_test_yield,rel_test_yield_low,rel_test_yield_high,frac_vaccinated,frac_vaccinated_low,frac_vaccinated_high,pop_nabs,pop_nabs_low,pop_nabs_high,pop_protection,pop_protection_low,pop_protection_high,pop_symp_protection,pop_symp_protection_low,pop_symp_protection_high
0,2021-06-01,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0020000000000000005,0.0019999999999999996,0.0020000000000000013,0.0,0.0,0.0,2.879803630615515,1.8173463462485517,3.942260914982478,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-02,100.0,100.0,100.0,0.0,0.0,0.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49900.0,49900.0,49900.0,99.9,99.30000000000001,100.5,0.0,0.0,0.0,0.0020000000000000005,0.0019999999999999996,0.0020000000000000013,0.0,0.0,0.0,3.1416039606714703,1.9825596504529652,4.300648270889975,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-06-03,102.4,99.6870680067499,105.11293199325011,0.0,0.0,0.0,5.2,-0.6514955353311169,11.051495535331117,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-0.31293199325010734,5.112931993250108,0.0,0.0,0.0,5.1,-0.5885850613311572,10.788585061331156,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49897.6,49894.88706800675,49900.31293199325,102.4,99.6870680067499,105.11293199325011,5.2,-0.6514955353311169,11.051495535331117,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49897.6,49894.88706800675,49900.31293199325,97.2,92.56966523888391,101.83033476111609,0.0,0.0,0.0,0.002048,0.001993741360134998,0.0021022586398650018,4.8099244803495056e-05,-6.273672745918881e-06,0.000102472162352909,3.2560951821837163,2.255730797362835,4.2564595670045975,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-06-04,115.5,105.41040139549645,125.58959860450355,0.0,0.0,0.0,27.4,20.233410853132433,34.566589146867564,5.8,0.6775006100537206,10.922499389946278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.243022775718714,22.956977224281285,0.0,0.0,0.0,22.2,17.07750061005372,27.32249938994628,4.9,1.1636916615461197,8.636308338453881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49884.5,49874.41040139549,49894.58959860451,115.5,105.41040139549645,125.58959860450355,27.4,20.233410853132433,34.566589146867564,5.8,0.6775006100537206,10.922499389946278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49884.5,49874.41040139549,49894.58959860451,88.1,81.93883127970025,94.26116872029974,0.0,0.0,0.0,0.0023099999999999996,0.0021082080279099286,0.0025117919720900705,0.00026261624788590085,6.497681150755748e-05,0.00046025568426424424,3.210796842524889,2.3963727823514835,4.025220902698295,16.531000095984137,3.0569798844752842,30.00502030749299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-06-05,138.2,122.43167732445838,153.9683226755416,0.0,0.0,0.0,56.4,50.72902124849687,62.07097875150313,17.6,13.291868154292398,21.908131845707604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,11.24399720670425,34.15600279329575,0.0,0.0,0.0,29.0,23.0,35.0,11.8,7.436515154145715,16.163484845854285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49861.8,49846.03167732446,49877.56832267554,138.2,122.43167732445838,153.9683226755416,56.4,50.72902124849687,62.07097875150313,17.6,13.291868154292398,21.908131845707604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49861.8,49846.03167732446,49877.56832267554,81.8,66.28742445626774,97.31257554373225,0.0,0.0,0.0,0.002764,0.0024486335464891677,0.0030793664535108322,0.00045527232570372967,0.00022541066724714677,0.0006851339841603126,3.0625261879339067,2.368867428263841,3.7561849476039724,6.72183738844889,3.752759417940753,9.690915358957026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-06-06,170.4,147.4879944134085,193.3120055865915,0.0,0.0,0.0,78.1,68.44805719038908,87.75194280961091,34.2,25.81906926409722,42.58093073590278,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,19.525616385796116,44.87438361420389,0.0,0.0,0.0,21.7,14.885309985039672,28.514690014960326,16.6,10.015168946738271,23.184831053261732,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49829.6,49806.687994413405,49852.51200558659,170.4,147.4879944134085,193.3120055865915,78.1,68.44805719038908,87.75194280961091,34.2,25.81906926409722,42.58093073590278,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49829.6,49806.687994413405,49852.51200558659,92.3,68.7534503589167,115.8465496410833,0.0,0.0,0.0,0.003408,0.00294975988826817,0.00386624011173183,0.0006462242829070657,0.00039168171343664923,0.0009007668523774821,2.903562134272081,2.2773164015772727,3.5298078669668893,4.206568145580194,2.6893542740193483,5.72378201714104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-06-07,200.5,166.50882467463063,234.49117532536937,0.0,0.0,0.0,92.8,86.4250490197963,99.17495098020369,48.6,42.520526338571734,54.67947366142827,0.4,-0.5797958971132713,1.3797958971132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,10.782650285300523,49.41734971469948,0.0,0.0,0.0,14.7,9.796939731147495,19.603060268852502,14.4,7.4028577261856405,21.39714227381436,0.3,-0.6165151389911678,1.216515138991168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49799.5,49765.50882467463,49833.49117532537,200.5,166.50882467463063,234.49117532536937,92.8,86.4250490197963,99.17495098020369,48.6,42.520526338571734,54.67947366142827,0.4,-0.5797958971132713,1.3797958971132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49799.5,49765.50882467463,49833.49117532537,107.7,74.97019706750436,140.42980293249565,0.0,0.0,0.0,0.00401,0.003330176493492612,0.004689823506507387,0.0006044743847040866,0.0002162891315698596,0.0009926596378383138,2.763411139324002,2.185402281429229,3.3414199972187753,3.900591132512708,2.516125848255305,5.285056416770111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-06-08,233.3,191.5287179990846,275.0712820009154,0.0,0.0,0.0,110.7,103.37606663055978,118.02393336944023,60.2,52.464368157674514,67.93563184232549,1.0,-0.26491106406735176,2.264911064067352,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,17.705630188709428,47.89436981129057,0.0,0.0,0.0,17.9,11.061871601088495,24.738128398911503,11.6,7.890552601801718,15.30944739819828,0.6,-0.37979589711327133,1.5797958971132713,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49766.7,49724.92871799908,49808.471282000915,233.2,191.44068966086724,274.95931033913274,110.6,103.26787888807065,117.93212111192933,60.2,52.464368157674514,67.93563184232549,1.0,-0.26491106406735176,2.264911064067352,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49766.7,49724.92871799908,49808.471282000915,122.6,85.27762065462599,159.922379345374,0.1,-0.5000000000000001,0.7000000000000001,0.004664,0.0038288137932173446,0.005499186206782655,0.0006591165887043679,0.00035554247066579955,0.0009626907067429362,2.660466545133404,2.101037430392472,3.2198956598743362,4.07071814125864,2.9401676224030124,5.201268660114267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-06-09,266.1,215.12981263522767,317.0701873647724,0.0,0.0,0.0,131.1,118.724217196476,143.47578280352397,73.3,65.70789884155907,80.89210115844092,1.5,-0.5493901531919199,3.54939015319192,0.3,-0.6165151389911678,1.216515138991168,1.8,-0.35406592285380145,3.9540659228538013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,12.864102728996617,52.73589727100338,0.0,0.0,0.0,20.4,13.518139786365897,27.2818602136341,13.1,7.553830150455181,18.64616984954482,0.5,-0.8416407864998738,1.8416407864998738,0.2,-0.6000000000000001,1.0000000000000002,1.7,-0.6748684174075834,4.0748684174075835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49733.9,49682.92981263523,49784.87018736477,264.3,213.3408006342329,315.25919936576713,129.3,116.52345899705246,142.07654100294755,72.8,64.86022670348831,80.73977329651169,1.5,-0.5493901531919199,3.54939015319192,0.3,-0.6165151389911678,1.216515138991168,1.8,-0.35406592285380145,3.9540659228538013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49733.9,49682.92981263523,49784.87018736477,135.0,91.7056585683533,178.2943414316467,1.8,-0.35406592285380145,3.9540659228538013,0.005286,0.004266816012684657,0.006305183987315343,0.0006595732468318307,0.0002583408025303196,0.0010608056911333417,2.613703577517809,2.0321210133419036,3.195286141693714,4.762546483712709,3.6187859833710236,5.906306984054395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-06-10,305.3,248.14722228972596,362.45277771027406,0.0,0.0,0.0,160.1,137.35884787439298,182.841152125607,87.7,78.10625203583083,97.29374796416917,2.2,-0.1323807579381202,4.532380757938121,0.5,-0.5,1.5,6.0,2.5358983848622456,9.464101615137753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,28.931601877605253,49.46839812239475,0.0,0.0,0.0,29.0,15.259548770145866,42.74045122985413,14.4,6.959569904904691,21.84043009509531,0.7,-0.8620499351813311,2.262049935181331,0.2,-0.6000000000000001,1.0000000000000002,4.2,1.7020008006406409,6.6979991993593595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49694.7,49637.54722228972,49751.85277771027,299.3,242.10524499571662,356.49475500428343,154.1,131.37644394026321,176.82355605973677,85.4,75.55317309992706,95.24682690007295,2.2,-0.1323807579381202,4.532380757938121,0.5,-0.5,1.5,6.0,2.5358983848622456,9.464101615137753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49694.7,49637.54722228972,49751.85277771027,145.2,107.73214711249122,182.66785288750876,6.0,2.5358983848622456,9.464101615137753,0.005986,0.004842104899914332,0.007129895100085668,0.0007888559232802656,0.0005816673392067871,0.000996044507353744,2.6199388159452233,1.972162739229737,3.2677148926607096,5.004362763909862,4.043749494728547,5.964976033091177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
