t,date,cum_infections,cum_infections_low,cum_infections_high,cum_reinfections,cum_reinfections_low,cum_reinfections_high,cum_infectious,cum_infectious_low,cum_infectious_high,cum_symptomatic,cum_symptomatic_low,cum_symptomatic_high,cum_severe,cum_severe_low,cum_severe_high,cum_critical,cum_critical_low,cum_critical_high,cum_recoveries,cum_recoveries_low,cum_recoveries_high,cum_deaths,cum_deaths_low,cum_deaths_high,cum_tests,cum_tests_low,cum_tests_high,cum_diagnoses,cum_diagnoses_low,cum_diagnoses_high,cum_known_deaths,cum_known_deaths_low,cum_known_deaths_high,cum_quarantined,cum_quarantined_low,cum_quarantined_high,cum_vaccinations,cum_vaccinations_low,cum_vaccinations_high,cum_vaccinated,cum_vaccinated_low,cum_vaccinated_high,new_infections,new_infections_low,new_infections_high,new_reinfections,new_reinfections_low,new_reinfections_high,new_infectious,new_infectious_low,new_infectious_high,new_symptomatic,new_symptomatic_low,new_symptomatic_high,new_severe,new_severe_low,new_severe_high,new_critical,new_critical_low,new_critical_high,new_recoveries,new_recoveries_low,new_recoveries_high,new_deaths,new_deaths_low,new_deaths_high,new_tests,new_tests_low,new_tests_high,new_diagnoses,new_diagnoses_low,new_diagnoses_high,new_known_deaths,new_known_deaths_low,new_known_deaths_high,new_quarantined,new_quarantined_low,new_quarantined_high,new_vaccinations,new_vaccinations_low,new_vaccinations_high,new_vaccinated,new_vaccinated_low,new_vaccinated_high,n_susceptible,n_susceptible_low,n_susceptible_high,n_exposed,n_exposed_low,n_exposed_high,n_infectious,n_infectious_low,n_infectious_high,n_symptomatic,n_symptomatic_low,n_symptomatic_high,n_severe,n_severe_low,n_severe_high,n_critical,n_critical_low,n_critical_high,n_recovered,n_recovered_low,n_recovered_high,n_dead,n_dead_low,n_dead_high,n_diagnosed,n_diagnosed_low,n_diagnosed_high,n_known_dead,n_known_dead_low,n_known_dead_high,n_quarantined,n_quarantined_low,n_quarantined_high,n_vaccinated,n_vaccinated_low,n_vaccinated_high,n_alive,n_alive_low,n_alive_high,n_naive,n_naive_low,n_naive_high,n_preinfectious,n_preinfectious_low,n_preinfectious_high,n_removed,n_removed_low,n_removed_high,prevalence,prevalence_low,prevalence_high,incidence,incidence_low,incidence_high,r_eff,r_eff_low,r_eff_high,doubling_time,doubling_time_low,doubling_time_high,test_yield,test_yield_low,test_yield_high,rel_test_yield,rel_test_yield_low,rel_test_yield_high,frac_vaccinated,frac_vaccinated_low,frac_vaccinated_high,pop_nabs,pop_nabs_low,pop_nabs_high,pop_protection,pop_protection_low,pop_protection_high,pop_symp_protection,pop_symp_protection_low,pop_symp_protection_high
0,2021-06-01,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,35.1461226083883,65.45387739161168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,35.1461226083883,65.45387739161168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0020000000000000005,0.0019999999999999996,0.0020000000000000013,0.0,0.0,0.0,2.361129673861304,1.2685237375922218,3.453735610130386,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-02,100.0,100.0,100.0,0.0,0.0,0.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,79.47287815983469,114.52712184016531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,29.42458394133444,63.975416058665566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0,49900.0,49900.0,100.0,100.0,100.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,49900.0,49900.0,49900.0,99.9,99.30000000000001,100.5,0.0,0.0,0.0,0.0020000000000000005,0.0019999999999999996,0.0020000000000000013,0.0,0.0,0.0,2.5757778260305133,1.3838440773733327,3.767711574687694,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-06-03,102.3,99.60927519058525,104.99072480941474,0.0,0.0,0.0,5.2,-0.6514955353311169,11.051495535331117,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.7,124.1425178710034,169.25748212899657,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,3.5,-10.564138793399332,17.56413879339933,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-0.3907248094147424,4.990724809414742,0.0,0.0,0.0,5.1,-0.5885850613311572,10.788585061331156,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,38.17437637262088,61.22562362737913,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,3.5,-10.564138793399332,17.56413879339933,0.0,0.0,0.0,0.0,0.0,0.0,49897.7,49895.00927519058,49900.39072480941,102.3,99.60927519058525,104.99072480941474,5.2,-0.6514955353311169,11.051495535331117,0.9,-1.1880613017821102,2.98806130178211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,3.5,-10.564138793399332,17.56413879339933,0.0,0.0,0.0,50000.0,50000.0,50000.0,49897.7,49895.00927519058,49900.39072480941,97.1,92.0049043188572,102.19509568114279,0.0,0.0,0.0,0.002046,0.0019921855038117055,0.0020998144961882946,4.609503596976396e-05,-7.832899560093592e-06,0.00010002297149962151,2.6302320719712977,1.6136786878859197,3.6467854560566755,,,,0.0034252539912917267,-0.010364036309367566,0.01721454429195102,22.7158231077099,-76.18021794120179,121.61186415662158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-06-04,114.9,104.30000000000001,125.5,0.0,0.0,0.0,27.4,20.233410853132433,34.566589146867564,5.8,0.6775006100537206,10.922499389946278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.6,168.04497222613938,239.1550277738606,2.1,-0.926549190084311,5.126549190084312,0.0,0.0,0.0,29.5,-18.54373008000107,77.54373008000107,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2.39411934226154,22.80588065773846,0.0,0.0,0.0,22.2,17.07750061005372,27.32249938994628,4.9,1.1636916615461197,8.636308338453881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,35.3509861014477,78.4490138985523,1.9,-0.8495454169735042,4.649545416973504,0.0,0.0,0.0,26.0,-14.407920015759288,66.40792001575929,0.0,0.0,0.0,0.0,0.0,0.0,49885.1,49874.5,49895.7,114.9,104.30000000000001,125.5,27.4,20.233410853132433,34.566589146867564,5.8,0.6775006100537206,10.922499389946278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-0.926549190084311,5.126549190084312,0.0,0.0,0.0,29.5,-18.54373008000107,77.54373008000107,0.0,0.0,0.0,50000.0,50000.0,50000.0,49885.1,49874.5,49895.7,87.5,80.6735807336496,94.3264192663504,0.0,0.0,0.0,0.0022979999999999997,0.0020859999999999997,0.0025099999999999996,0.0002525909443953358,4.7959535191572164e-05,0.0004572223535990995,2.5246154339775884,1.7215438943516217,3.327686973603555,17.56616702087462,2.281510547378769,32.850823494370474,0.0320678057134311,-0.014233383455611537,0.07836899488247373,58.890326434281405,-28.80688817541632,146.58754104397912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-06-05,135.4,120.21579768311815,150.58420231688186,0.0,0.0,0.0,56.5,51.420629960319886,61.579370039680114,17.6,13.291868154292398,21.908131845707604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.4,214.53956143038295,352.260438569617,5.6,0.7667816105621705,10.43321838943783,0.0,0.0,0.0,80.6,5.690988526079195,155.5090114739208,0.0,0.0,0.0,0.0,0.0,0.0,20.5,12.587983822059007,28.41201617794099,0.0,0.0,0.0,29.1,23.272479086266614,34.92752091373339,11.8,7.436515154145715,16.163484845854285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,30.55124367052504,129.04875632947494,3.5,0.7797058982529115,6.220294101747088,0.0,0.0,0.0,51.1,8.471840293064496,93.72815970693551,0.0,0.0,0.0,0.0,0.0,0.0,49864.6,49849.41579768312,49879.78420231688,135.4,120.21579768311815,150.58420231688186,56.5,51.420629960319886,61.579370039680114,17.6,13.291868154292398,21.908131845707604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.7667816105621705,10.43321838943783,0.0,0.0,0.0,80.6,5.690988526079195,155.5090114739208,0.0,0.0,0.0,50000.0,50000.0,50000.0,49864.6,49849.41579768312,49879.78420231688,78.9,64.2453079186221,93.55469208137791,0.0,0.0,0.0,0.002708,0.002404315953662363,0.003011684046337637,0.0004111223935547118,0.0002523587982208666,0.000569885988888557,2.317885384779409,1.6490586551332247,2.9867121144255937,7.177430052037198,4.093418319476006,10.26144178459839,0.04601998233891909,0.009076860781601782,0.0829631038962364,40.96027733559807,6.5194536681677135,75.40110100302843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-06-06,162.8,139.98246288487735,185.61753711512267,0.0,0.0,0.0,78.2,68.65851164649875,87.74148835350125,33.9,25.58375084548328,42.21624915451672,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.8,304.56793959542483,473.0320604045752,11.6,5.85891996223707,17.34108003776293,0.0,0.0,0.0,165.4,82.50150785448508,248.29849214551493,0.0,0.0,0.0,0.0,0.0,0.0,27.4,13.918160362917824,40.88183963708217,0.0,0.0,0.0,21.7,14.160769270011695,29.239230729988304,16.3,9.724287110890561,22.87571288910944,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.4,65.03962339125167,145.76037660874835,6.0,-0.81175454637056,12.81175454637056,0.0,0.0,0.0,84.8,-0.02358162680941689,169.62358162680943,0.0,0.0,0.0,0.0,0.0,0.0,49837.2,49814.382462884874,49860.01753711512,162.8,139.98246288487735,185.61753711512267,78.2,68.65851164649875,87.74148835350125,33.9,25.58375084548328,42.21624915451672,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,5.85891996223707,17.34108003776293,0.0,0.0,0.0,165.3,82.14207794803914,248.45792205196088,0.0,0.0,0.0,50000.0,50000.0,50000.0,49837.2,49814.382462884874,49860.01753711512,84.6,61.670542963253574,107.52945703674641,0.0,0.0,0.0,0.0032559999999999998,0.002799649257697547,0.0037123507423024527,0.0005498138813717908,0.0002791800708587366,0.000820447691884845,2.108546031508115,1.5067309673879774,2.7103610956282522,4.675202310354142,2.4722873759989668,6.878117244709317,0.06190890996411345,-0.02569008799236181,0.1495079079205887,39.99191863287614,-16.942579023923372,96.92641628967566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-06-07,187.2,149.48740263519363,224.91259736480635,0.0,0.0,0.0,93.2,86.76260922422757,99.63739077577243,48.4,40.39000624219968,56.409993757800315,0.4,-0.5797958971132713,1.3797958971132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.8,443.73463074797246,621.8653692520274,19.4,11.241568778251542,27.558431221748457,0.0,0.0,0.0,278.0,146.68663434364345,409.31336565635655,0.0,0.0,0.0,0.0,0.0,0.0,24.4,3.882690234828541,44.91730976517145,0.0,0.0,0.0,15.0,8.306719787727395,21.693280212272605,14.5,6.741134103491671,22.25886589650833,0.3,-0.6165151389911678,1.216515138991168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,52.76842651800858,235.2315734819914,7.8,2.9173777537065186,12.68262224629348,0.0,0.0,0.0,112.6,30.258273032441195,194.9417269675588,0.0,0.0,0.0,0.0,0.0,0.0,49812.8,49775.087402635196,49850.51259736481,187.2,149.48740263519363,224.91259736480635,93.2,86.76260922422757,99.63739077577243,48.4,40.39000624219968,56.409993757800315,0.4,-0.5797958971132713,1.3797958971132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,11.241568778251542,27.558431221748457,0.0,0.0,0.0,277.6,146.30125667014175,408.8987433298583,0.0,0.0,0.0,50000.0,50000.0,50000.0,49812.8,49775.087402635196,49850.51259736481,94.0,59.301296854205056,128.69870314579495,0.0,0.0,0.0,0.003744,0.0029897480527038725,0.004498251947296127,0.0004899006306507602,7.766741198862379e-05,0.0009021338493128965,1.9290856411100297,1.3876995863448276,2.470471695875232,4.5001448932457455,2.4135340587901166,6.586755727701375,0.057260497711951096,0.01927987808260591,0.09524111734129628,30.85929570857879,9.765992308584924,51.952599108572656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-06-08,208.8,163.54693380554198,254.05306619445804,0.0,0.0,0.0,108.8,99.77558866185721,117.82441133814278,59.0,51.15143325186057,66.84856674813943,0.9,-0.5000000000000001,2.3000000000000003,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,702.3,555.0721493738362,849.5278506261637,26.6,17.602222496638408,35.5977775033616,0.0,0.0,0.0,373.7,220.65347112724183,526.7465288727582,0.0,0.0,0.0,0.0,0.0,0.0,21.6,9.167783785663959,34.032216214336046,0.0,0.0,0.0,15.6,9.520526338571734,21.679473661428265,10.6,6.021790743096161,15.178209256903838,0.5,-0.5,1.5,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,169.5,83.94650796139295,255.05349203860703,7.2,4.0,10.4,0.0,0.0,0.0,95.7,53.34861277360564,138.05138722639435,0.0,0.0,0.0,0.0,0.0,0.0,49791.2,49745.94693380554,49836.45306619445,208.7,163.42705001880262,253.97294998119736,108.7,99.66451440153878,117.73548559846122,59.0,51.15143325186057,66.84856674813943,0.9,-0.5000000000000001,2.3000000000000003,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,26.6,17.602222496638408,35.5977775033616,0.0,0.0,0.0,372.8,220.05236499375843,525.5476350062415,0.0,0.0,0.0,50000.0,50000.0,50000.0,49791.2,49745.94693380554,49836.45306619445,100.0,59.83035972279563,140.16964027720437,0.1,-0.5000000000000001,0.7000000000000001,0.004174,0.0032685410003760523,0.005079458999623947,0.00043385102581445557,0.00018385011074105212,0.000683851940887859,1.7905449817532175,1.294517424322759,2.286572539183676,5.077961908798224,2.835397711008598,7.320526106587851,0.04663084102599358,0.00832047349094004,0.08494120856104712,21.510720073549415,3.512123929063865,39.50931621803497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-06-09,236.9,183.0672961853113,290.7327038146887,0.0,0.0,0.0,127.8,114.81385353540165,140.78614646459835,70.9,61.37319570894836,80.42680429105165,1.4,-0.6396078054371142,3.439607805437114,0.3,-0.6165151389911678,1.216515138991168,1.8,-0.35406592285380145,3.9540659228538013,0.0,0.0,0.0,853.8,686.2152751591004,1021.3847248408995,36.7,26.421867873976325,46.97813212602368,0.0,0.0,0.0,510.7,309.00111552118096,712.398884478819,0.0,0.0,0.0,0.0,0.0,0.0,28.1,8.53574688366561,47.66425311633439,0.0,0.0,0.0,19.0,13.940355743730592,24.059644256269408,11.9,6.574589217722262,17.225410782277738,0.5,-0.8416407864998738,1.8416407864998738,0.2,-0.6000000000000001,1.0000000000000002,1.7,-0.6748684174075834,4.0748684174075835,0.0,0.0,0.0,151.5,105.91710847258591,197.0828915274141,10.1,4.77458921772226,15.425410782277739,0.0,0.0,0.0,137.0,54.01566412870439,219.98433587129563,0.0,0.0,0.0,0.0,0.0,0.0,49763.1,49709.26729618531,49816.93270381469,235.1,181.19304312057673,289.0069568794233,126.0,113.67117199406205,138.32882800593796,70.4,60.59387946229499,80.20612053770502,1.4,-0.6396078054371142,3.439607805437114,0.3,-0.6165151389911678,1.216515138991168,1.8,-0.35406592285380145,3.9540659228538013,0.0,0.0,0.0,36.7,26.421867873976325,46.97813212602368,0.0,0.0,0.0,508.0,308.5708145731924,707.4291854268076,0.0,0.0,0.0,50000.0,50000.0,50000.0,49763.1,49709.26729618531,49816.93270381469,109.1,64.32992070590001,153.87007929409998,1.8,-0.35406592285380145,3.9540659228538013,0.004702,0.003623860862411534,0.005780139137588465,0.0005647378293644807,0.00017117503592850727,0.000958300622800454,1.6842539244792956,1.218363812188219,2.150144036770372,5.763854820339384,3.88864384208635,7.639065798592418,0.06820089645402273,0.030241602647259475,0.10616019026078599,26.865576971312624,12.888952088717284,40.842201853907966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-06-10,261.0,202.40307175286404,319.59692824713596,0.0,0.0,0.0,151.2,130.82746947480504,171.57253052519494,85.5,69.2211794039003,101.7788205960997,2.0,-0.5298221281347035,4.529822128134704,0.5,-0.5,1.5,6.0,2.5358983848622456,9.464101615137753,0.0,0.0,0.0,1052.2,848.2278450376131,1256.172154962387,51.7,41.61833347109715,61.78166652890285,0.0,0.0,0.0,719.4,544.1990867603711,894.6009132396289,0.0,0.0,0.0,0.0,0.0,0.0,24.1,12.051763614536775,36.14823638546323,0.0,0.0,0.0,23.4,13.593879462294987,33.20612053770501,14.6,4.199999999999999,25.0,0.6,-0.7266499161421601,1.9266499161421602,0.2,-0.6000000000000001,1.0000000000000002,4.2,1.7020008006406409,6.6979991993593595,0.0,0.0,0.0,198.4,110.77717192420688,286.02282807579314,15.0,9.203449301524223,20.796550698475777,0.0,0.0,0.0,208.7,115.447439713432,301.952560286568,0.0,0.0,0.0,0.0,0.0,0.0,49739.0,49680.403071752866,49797.596928247134,255.0,195.66367048763465,314.33632951236535,145.2,125.52666779622729,164.8733322037727,83.2,67.2300281778583,99.1699718221417,2.0,-0.5298221281347035,4.529822128134704,0.5,-0.5,1.5,6.0,2.5358983848622456,9.464101615137753,0.0,0.0,0.0,51.7,41.61833347109715,61.78166652890285,0.0,0.0,0.0,712.0,541.2065575029299,882.7934424970701,0.0,0.0,0.0,50000.0,50000.0,50000.0,49739.0,49680.403071752866,49797.596928247134,109.8,65.89282518767575,153.70717481232424,6.0,2.5358983848622456,9.464101615137753,0.0050999999999999995,0.003913273409752692,0.006286726590247307,0.0004845638050844131,0.0002420574263841696,0.0007270701837846567,1.6017135271248661,1.1428711205545479,2.0605559336951846,6.466956046924402,4.209224870842669,8.724687223006136,0.07867949499125874,0.03512321855354527,0.12223577142897221,27.217916247253868,11.582259855681265,42.85357263882647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
