,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,rand_seed,id,imbalance
0,100.0,191.0,290.0,353.0,372.0,378.0,14,35,hybrid,True,50000,100,UK,treatment,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti0,0.0
1,100.0,223.0,643.0,1612.0,3782.0,8212.0,14,35,hybrid,True,50000,100,UK,control,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti0,0.0
2,100.0,191.0,290.0,353.0,372.0,378.0,14,35,hybrid,True,50000,100,UK,treatment,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti0,0.0
3,100.0,174.0,247.0,303.0,327.0,339.0,14,35,hybrid,True,50000,100,UK,treatment,34.97771072387695,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",2,ic0_ti0,0.0
4,100.0,173.0,256.0,303.0,322.0,328.0,14,35,hybrid,True,50000,100,UK,treatment,35.259117126464844,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",3,ic0_ti0,0.0
5,100.0,154.0,222.0,262.0,282.0,284.0,14,35,hybrid,True,50000,100,UK,treatment,35.03144454956055,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",4,ic0_ti0,0.0
6,100.0,223.0,643.0,1612.0,3782.0,8212.0,14,35,hybrid,True,50000,100,UK,control,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti0,0.0
7,100.0,256.0,606.0,1298.0,2809.0,5614.0,14,35,hybrid,True,50000,100,UK,control,34.97771072387695,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",2,ic0_ti0,0.0
8,100.0,221.0,588.0,1370.0,3005.0,6307.0,14,35,hybrid,True,50000,100,UK,control,35.259117126464844,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",3,ic0_ti0,0.0
9,100.0,200.0,491.0,1153.0,2590.0,5652.0,14,35,hybrid,True,50000,100,UK,control,35.03144454956055,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",4,ic0_ti0,0.0
0,100.0,191.0,290.0,353.0,372.0,378.0,14,35,hybrid,True,50000,100,UK,treatment,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti1,0.0
1,100.0,223.0,643.0,1612.0,3782.0,8212.0,14,35,hybrid,True,50000,100,UK,control,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti1,0.0
2,100.0,191.0,290.0,353.0,372.0,378.0,14,35,hybrid,True,50000,100,UK,treatment,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti1,0.0
3,100.0,174.0,247.0,303.0,327.0,339.0,14,35,hybrid,True,50000,100,UK,treatment,34.97771072387695,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",2,ic0_ti1,0.0
4,100.0,173.0,256.0,303.0,322.0,328.0,14,35,hybrid,True,50000,100,UK,treatment,35.259117126464844,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",3,ic0_ti1,0.0
5,100.0,154.0,222.0,262.0,282.0,284.0,14,35,hybrid,True,50000,100,UK,treatment,35.03144454956055,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",4,ic0_ti1,0.0
6,100.0,223.0,643.0,1612.0,3782.0,8212.0,14,35,hybrid,True,50000,100,UK,control,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti1,0.0
7,100.0,256.0,606.0,1298.0,2809.0,5614.0,14,35,hybrid,True,50000,100,UK,control,34.97771072387695,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",2,ic0_ti1,0.0
8,100.0,221.0,588.0,1370.0,3005.0,6307.0,14,35,hybrid,True,50000,100,UK,control,35.259117126464844,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",3,ic0_ti1,0.0
9,100.0,200.0,491.0,1153.0,2590.0,5652.0,14,35,hybrid,True,50000,100,UK,control,35.03144454956055,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",4,ic0_ti1,0.0
0,100.0,191.0,290.0,353.0,372.0,378.0,14,35,hybrid,True,50000,100,UK,treatment,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti2,4.601258850097658
1,100.0,223.0,643.0,1612.0,3782.0,8212.0,14,35,hybrid,True,50000,100,UK,control,35.058753967285156,2.0,20,16,20,"{'0-9': 7235, '10-19': 7566, '20-29': 7564, '30-39': 7266, '40-49': 7149, '50-59': 6121, '60-69': 3992, '70-79': 2329, '80+': 774}",1,ic0_ti2,4.601258850097658
