,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,rand_seed,id,imbalance
0,114.0,216.0,317.0,380.0,407.0,416.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.047783,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",1,ic0_ti0,0.0
1,114.0,273.0,652.0,1463.0,3080.0,6272.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,control,35.047783,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",1,ic0_ti0,0.0
2,114.0,216.0,317.0,380.0,407.0,416.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.047783,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",1,ic0_ti0,0.0
3,114.0,184.0,273.0,316.0,336.0,341.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,34.911575,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",2,ic0_ti0,0.0
4,114.0,191.0,275.0,313.0,330.0,338.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.273052,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",3,ic0_ti0,0.0
5,114.0,184.0,270.0,308.0,320.0,322.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.009598,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",4,ic0_ti0,0.0
6,114.0,202.0,324.0,395.0,419.0,437.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.28662,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",5,ic0_ti0,0.0
7,114.0,202.0,284.0,332.0,344.0,344.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,34.982296,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",6,ic0_ti0,0.0
8,114.0,168.0,236.0,261.0,271.0,276.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.181816,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",7,ic0_ti0,0.0
9,114.0,209.0,312.0,344.0,353.0,358.0,14,35,hybrid,True,51272.075277191405,114.71798940515949,UK,treatment,35.129837,2.0,20,16,20,"{'0-9': 7419, '10-19': 7758, '20-29': 7757, '30-39': 7451, '40-49': 7331, '50-59': 6276, '60-69': 4093, '70-79': 2388, '80+': 794}",8,ic0_ti0,0.0
