,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,rand_seed,id,imbalance
0,95.0,184.0,308.0,368.0,389.0,399.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.07487869262695,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",1,ic0_ti0,0.0
1,95.0,258.0,781.0,1991.0,4534.0,9621.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,control,35.07487869262695,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",1,ic0_ti0,0.0
2,95.0,184.0,308.0,368.0,389.0,399.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.07487869262695,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",1,ic0_ti0,0.0
3,95.0,137.0,177.0,204.0,216.0,218.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,34.94593811035156,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",2,ic0_ti0,0.0
4,95.0,149.0,232.0,284.0,293.0,294.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.246337890625,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",3,ic0_ti0,0.0
5,95.0,171.0,283.0,352.0,378.0,392.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.051658630371094,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",4,ic0_ti0,0.0
6,95.0,164.0,276.0,333.0,362.0,366.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.27564239501953,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",5,ic0_ti0,0.0
7,95.0,193.0,301.0,364.0,387.0,394.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.02965545654297,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",6,ic0_ti0,0.0
8,95.0,152.0,206.0,236.0,247.0,250.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.16250228881836,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",7,ic0_ti0,0.0
9,95.0,180.0,262.0,293.0,320.0,326.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.115047454833984,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",8,ic0_ti0,0.0
10,95.0,149.0,196.0,236.0,251.0,255.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.15436553955078,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",9,ic0_ti0,0.0
11,95.0,174.0,284.0,359.0,388.0,396.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.058860778808594,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",10,ic0_ti0,0.0
12,95.0,150.0,218.0,249.0,264.0,268.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.02843475341797,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",11,ic0_ti0,0.0
13,95.0,169.0,265.0,345.0,377.0,390.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.16081237792969,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",12,ic0_ti0,0.0
14,95.0,184.0,329.0,413.0,447.0,460.0,14,35,hybrid,True,53750.87601636206,95.32188348242771,UK,treatment,35.181640625,2.0,20,16,20,"{'0-9': 7777, '10-19': 8133, '20-29': 8132, '30-39': 7811, '40-49': 7685, '50-59': 6580, '60-69': 4291, '70-79': 2504, '80+': 832}",13,ic0_ti0,0.0
