,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,86.0,178.0,349.0,565.0,707.0,797.0,0.0,56.0,124.0,237.0,352.0,433.0,0.0,0.0,0.0,3.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48871.0,48871.0,48871.0,48871.0,48871.0,48871.0,14,48871.67800228755,86.97148838865573,New Zealand,35,hybrid,True,az
0,98.0,221.0,552.0,1377.0,2893.0,5800.0,0.0,61.0,173.0,470.0,1111.0,2336.0,0.0,0.0,5.0,20.0,51.0,124.0,0.0,0.0,2.0,8.0,17.0,36.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49505.16226196174,98.69094077277751,France,35,hybrid,True,none
0,104.0,149.0,178.0,188.0,192.0,193.0,0.0,58.0,95.0,113.0,116.0,119.0,0.0,2.0,6.0,9.0,9.0,10.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,49593.0,49593.0,49593.0,49593.0,49593.0,49593.0,14,49593.25040370783,104.5157066815268,France,35,hybrid,True,moderna
0,99.0,127.0,161.0,170.0,181.0,184.0,0.0,60.0,88.0,101.0,107.0,111.0,0.0,0.0,10.0,11.0,14.0,14.0,0.0,0.0,3.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,49693.0,49693.0,49693.0,49693.0,49693.0,49693.0,14,49693.83997799059,99.54818915346901,France,35,hybrid,True,moderna
0,107.0,140.0,164.0,171.0,176.0,177.0,0.0,66.0,104.0,115.0,116.0,118.0,0.0,1.0,4.0,6.0,7.0,7.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,49954.0,49954.0,49954.0,49954.0,49954.0,49954.0,14,49954.83634436918,107.43558231259057,France,35,hybrid,True,pfizer
0,99.0,139.0,177.0,191.0,196.0,200.0,0.0,63.0,95.0,118.0,124.0,125.0,0.0,2.0,13.0,17.0,18.0,18.0,0.0,0.0,2.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,49105.0,49105.0,49105.0,49105.0,49105.0,49105.0,14,49105.37903321767,99.57960229809672,Japan,35,hybrid,True,moderna
0,94.0,146.0,190.0,214.0,221.0,222.0,0.0,64.0,96.0,117.0,128.0,131.0,0.0,0.0,5.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48750.0,48750.0,48750.0,48750.0,48750.0,48750.0,14,48750.05292830325,94.5527177678293,UK,35,hybrid,True,pfizer
0,94.0,186.0,353.0,567.0,721.0,835.0,0.0,50.0,139.0,240.0,367.0,451.0,0.0,0.0,6.0,12.0,18.0,23.0,0.0,0.0,3.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,51431.0,51431.0,51431.0,51431.0,51431.0,51431.0,14,51431.75374183316,94.024024897795,New Zealand,35,hybrid,True,az
0,102.0,130.0,156.0,164.0,164.0,164.0,0.0,57.0,89.0,100.0,105.0,105.0,0.0,1.0,10.0,11.0,11.0,11.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,48527.0,48527.0,48527.0,48527.0,48527.0,48527.0,14,48527.234893524204,102.14444932374708,France,35,hybrid,True,pfizer
0,91.0,124.0,162.0,181.0,185.0,187.0,0.0,58.0,95.0,109.0,122.0,124.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50026.0,50026.0,50026.0,50026.0,50026.0,50026.0,14,50026.48469670685,91.28071651074765,France,35,hybrid,True,pfizer
