,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,101.0,147.0,182.0,203.0,209.0,211.0,0.0,64.0,94.0,115.0,121.0,128.0,0.0,1.0,6.0,7.0,7.0,7.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41173.0,41173.0,41173.0,41173.0,41173.0,41173.0,14,41173.46540724236,101.27862151291643,UK,35,hybrid,True,pfizer
0,87.0,171.0,365.0,602.0,789.0,927.0,0.0,54.0,139.0,287.0,425.0,535.0,0.0,0.0,4.0,21.0,31.0,37.0,0.0,0.0,2.0,8.0,12.0,17.0,0.0,0.0,0.0,1.0,5.0,7.0,44593.0,44593.0,44593.0,44593.0,44593.0,44593.0,14,44593.440463214196,87.3099228532647,Japan,35,hybrid,True,az
0,97.0,152.0,198.0,224.0,233.0,233.0,0.0,50.0,91.0,107.0,119.0,122.0,0.0,1.0,4.0,7.0,9.0,9.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,47675.0,47675.0,47675.0,47675.0,47675.0,47675.0,14,47675.235625029134,97.71304335817354,UK,35,hybrid,True,pfizer
0,112.0,240.0,488.0,750.0,938.0,1071.0,0.0,64.0,202.0,366.0,511.0,623.0,0.0,0.0,7.0,16.0,30.0,40.0,0.0,0.0,1.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,48079.0,48079.0,48079.0,48079.0,48079.0,48079.0,14,48079.84907095699,112.84507851391834,UK,35,hybrid,True,az
0,106.0,163.0,206.0,236.0,244.0,246.0,0.0,62.0,109.0,137.0,152.0,154.0,0.0,0.0,8.0,11.0,12.0,12.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,50490.0,50490.0,50490.0,50490.0,50490.0,50490.0,14,50490.621303721025,106.34673480682264,France,35,hybrid,True,moderna
0,116.0,167.0,214.0,233.0,239.0,239.0,0.0,64.0,115.0,133.0,141.0,142.0,0.0,1.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52509.0,52509.0,52509.0,52509.0,52509.0,52509.0,14,52509.7989698356,116.56637303711062,UK,35,hybrid,True,pfizer
0,104.0,212.0,401.0,640.0,862.0,1048.0,0.0,60.0,166.0,282.0,414.0,554.0,0.0,1.0,6.0,13.0,31.0,40.0,0.0,0.0,1.0,3.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,43412.0,43412.0,43412.0,43412.0,43412.0,43412.0,14,43412.56156229137,104.9069044592588,New Zealand,35,hybrid,True,az
0,92.0,186.0,338.0,511.0,632.0,734.0,0.0,59.0,143.0,242.0,349.0,414.0,0.0,2.0,8.0,13.0,26.0,27.0,0.0,1.0,5.0,7.0,9.0,9.0,0.0,0.0,0.0,1.0,2.0,3.0,48802.0,48802.0,48802.0,48802.0,48802.0,48802.0,14,48802.668144757794,92.96776337322207,UK,35,hybrid,True,az
0,96.0,122.0,152.0,162.0,164.0,166.0,0.0,64.0,91.0,105.0,106.0,107.0,0.0,2.0,6.0,10.0,13.0,13.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,49806.0,49806.0,49806.0,49806.0,49806.0,49806.0,14,49806.58411904016,96.36719682076783,UK,35,hybrid,True,pfizer
0,108.0,139.0,178.0,199.0,202.0,202.0,0.0,67.0,103.0,121.0,126.0,127.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53249.0,53249.0,53249.0,53249.0,53249.0,53249.0,14,53249.01144716306,108.26918554875463,UK,35,hybrid,True,pfizer
