,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,106.0,149.0,184.0,203.0,209.0,211.0,0.0,67.0,104.0,128.0,135.0,138.0,0.0,2.0,4.0,7.0,8.0,8.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,47902.0,47902.0,47902.0,47902.0,47902.0,47902.0,14,47902.081401221956,106.1365706609784,UK,35,hybrid,True,pfizer
0,90.0,204.0,376.0,558.0,694.0,773.0,0.0,66.0,160.0,264.0,381.0,459.0,0.0,2.0,8.0,11.0,20.0,27.0,0.0,0.0,3.0,6.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,48817.0,48817.0,48817.0,48817.0,48817.0,48817.0,14,48817.42778072294,90.1178146931138,France,35,hybrid,True,az
0,108.0,144.0,177.0,185.0,189.0,191.0,0.0,70.0,105.0,121.0,125.0,125.0,0.0,0.0,8.0,10.0,10.0,12.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,42331.0,42331.0,42331.0,42331.0,42331.0,42331.0,14,42331.0201851365,108.30173817298731,France,35,hybrid,True,moderna
0,88.0,120.0,168.0,180.0,186.0,191.0,0.0,44.0,77.0,93.0,97.0,100.0,0.0,0.0,10.0,12.0,13.0,14.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,55392.0,55392.0,55392.0,55392.0,55392.0,55392.0,14,55392.31448956213,88.93861477220759,France,35,hybrid,True,moderna
0,91.0,108.0,135.0,146.0,149.0,151.0,0.0,51.0,81.0,103.0,106.0,108.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48515.0,48515.0,48515.0,48515.0,48515.0,48515.0,14,48515.23773129767,91.15349589748342,France,35,hybrid,True,moderna
0,92.0,133.0,172.0,187.0,197.0,199.0,0.0,51.0,89.0,110.0,119.0,123.0,0.0,2.0,4.0,5.0,6.0,6.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,50002.0,50002.0,50002.0,50002.0,50002.0,50002.0,14,50002.956233837096,92.87765433871162,France,35,hybrid,True,moderna
0,125.0,347.0,900.0,2146.0,4666.0,9161.0,0.0,85.0,296.0,762.0,1747.0,3736.0,0.0,3.0,12.0,32.0,74.0,180.0,0.0,1.0,4.0,7.0,15.0,35.0,0.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,40422.570308429116,125.69434293336789,New Zealand,35,hybrid,True,none
0,92.0,130.0,169.0,185.0,191.0,197.0,0.0,72.0,103.0,120.0,125.0,128.0,0.0,0.0,6.0,10.0,10.0,10.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,40376.0,40376.0,40376.0,40376.0,40376.0,40376.0,14,40376.301567145405,92.19121822833351,France,35,hybrid,True,moderna
0,81.0,122.0,157.0,177.0,183.0,187.0,0.0,43.0,80.0,98.0,109.0,114.0,0.0,2.0,3.0,5.0,7.0,7.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,45657.0,45657.0,45657.0,45657.0,45657.0,45657.0,14,45657.929302075594,81.58253122090963,UK,35,hybrid,True,pfizer
0,120.0,243.0,457.0,701.0,901.0,1026.0,0.0,84.0,181.0,322.0,478.0,592.0,0.0,1.0,12.0,19.0,33.0,40.0,0.0,0.0,2.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,5.0,56039.0,56039.0,56039.0,56039.0,56039.0,56039.0,14,56039.40114693862,120.81229003299879,France,35,hybrid,True,az
0,74.0,147.0,378.0,884.0,1839.0,3885.0,0.0,45.0,126.0,302.0,704.0,1468.0,0.0,0.0,4.0,12.0,28.0,73.0,0.0,0.0,2.0,4.0,7.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,47832.13475790573,74.243972138499,New Zealand,35,hybrid,True,none
0,80.0,112.0,142.0,153.0,157.0,159.0,0.0,55.0,81.0,91.0,95.0,99.0,0.0,1.0,5.0,10.0,10.0,10.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,55615.0,55615.0,55615.0,55615.0,55615.0,55615.0,14,55615.74257416927,80.20136288748368,France,35,hybrid,True,pfizer
0,92.0,130.0,158.0,168.0,172.0,173.0,0.0,57.0,100.0,115.0,119.0,120.0,0.0,1.0,5.0,7.0,7.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48621.0,48621.0,48621.0,48621.0,48621.0,48621.0,14,48621.15280711818,92.34561603978023,UK,35,hybrid,True,pfizer
0,113.0,158.0,186.0,198.0,200.0,205.0,0.0,71.0,111.0,123.0,127.0,130.0,0.0,2.0,8.0,11.0,12.0,12.0,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,47488.0,47488.0,47488.0,47488.0,47488.0,47488.0,14,47488.58604921827,113.27275610924353,France,35,hybrid,True,moderna
