,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,108.0,304.0,785.0,1679.0,3431.0,6910.0,0.0,73.0,256.0,639.0,1367.0,2789.0,0.0,1.0,7.0,22.0,63.0,117.0,0.0,0.0,1.0,3.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,50022.03327952989,108.88021552687864,New Zealand,35,hybrid,True,none
0,98.0,190.0,301.0,444.0,566.0,654.0,0.0,61.0,148.0,233.0,323.0,395.0,0.0,2.0,8.0,14.0,29.0,35.0,0.0,1.0,3.0,4.0,9.0,12.0,0.0,0.0,0.0,1.0,3.0,5.0,50288.0,50288.0,50288.0,50288.0,50288.0,50288.0,14,50288.85094106578,98.51352194774728,Japan,35,hybrid,True,az
0,95.0,205.0,544.0,1334.0,2992.0,6157.0,0.0,59.0,183.0,468.0,1122.0,2434.0,0.0,2.0,7.0,9.0,34.0,104.0,0.0,0.0,1.0,1.0,9.0,31.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48180.18186671028,95.29667613266231,New Zealand,35,hybrid,True,none
0,102.0,224.0,546.0,1308.0,2856.0,5907.0,0.0,70.0,188.0,478.0,1070.0,2327.0,0.0,0.0,7.0,16.0,42.0,103.0,0.0,0.0,3.0,6.0,10.0,27.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51846.82804567394,102.11817695290944,New Zealand,35,hybrid,True,none
0,102.0,249.0,697.0,1613.0,3595.0,7292.0,0.0,61.0,208.0,602.0,1360.0,2856.0,0.0,0.0,5.0,16.0,53.0,130.0,0.0,0.0,0.0,3.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51837.5976111477,102.90103042548506,New Zealand,35,hybrid,True,none
0,105.0,148.0,179.0,202.0,210.0,212.0,0.0,65.0,101.0,120.0,127.0,131.0,0.0,0.0,7.0,11.0,12.0,13.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,51595.0,51595.0,51595.0,51595.0,51595.0,51595.0,14,51595.802427768416,105.67813754514606,UK,35,hybrid,True,pfizer
0,93.0,232.0,674.0,1706.0,3914.0,8146.0,0.0,47.0,198.0,561.0,1397.0,3150.0,0.0,1.0,7.0,20.0,55.0,122.0,0.0,0.0,3.0,6.0,15.0,36.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49937.02158594287,93.29993555943541,New Zealand,35,hybrid,True,none
0,104.0,153.0,199.0,227.0,237.0,239.0,0.0,60.0,107.0,128.0,141.0,145.0,0.0,0.0,5.0,9.0,9.0,10.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,51042.0,51042.0,51042.0,51042.0,51042.0,51042.0,14,51042.460699773575,104.3133119312873,France,35,hybrid,True,moderna
0,100.0,247.0,666.0,1596.0,3682.0,7772.0,0.0,63.0,207.0,557.0,1329.0,2969.0,0.0,0.0,4.0,18.0,64.0,133.0,0.0,0.0,0.0,4.0,19.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,50521.93195262196,100.793368668118,New Zealand,35,hybrid,True,none
0,98.0,228.0,628.0,1475.0,3263.0,6967.0,0.0,55.0,187.0,515.0,1219.0,2640.0,0.0,0.0,5.0,20.0,52.0,116.0,0.0,0.0,3.0,3.0,14.0,27.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,50147.81716969004,98.77596167455219,New Zealand,35,hybrid,True,none
0,103.0,198.0,360.0,516.0,626.0,691.0,0.0,66.0,162.0,250.0,342.0,404.0,0.0,0.0,5.0,10.0,13.0,17.0,0.0,0.0,3.0,6.0,7.0,8.0,0.0,0.0,0.0,2.0,4.0,5.0,51277.0,51277.0,51277.0,51277.0,51277.0,51277.0,14,51277.57505353444,103.15704597666641,Japan,35,hybrid,True,az
0,95.0,159.0,296.0,440.0,583.0,684.0,0.0,57.0,115.0,213.0,298.0,379.0,0.0,0.0,5.0,12.0,23.0,32.0,0.0,0.0,2.0,5.0,8.0,12.0,0.0,0.0,0.0,1.0,3.0,4.0,51334.0,51334.0,51334.0,51334.0,51334.0,51334.0,14,51334.99643761695,95.78849553387876,Japan,35,hybrid,True,az
0,93.0,189.0,359.0,547.0,684.0,777.0,0.0,63.0,165.0,273.0,401.0,474.0,0.0,0.0,6.0,12.0,29.0,38.0,0.0,0.0,1.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,50539.0,50539.0,50539.0,50539.0,50539.0,50539.0,14,50539.591377336656,93.24368943172266,Japan,35,hybrid,True,az
