,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
94,4,103.0,153.0,201.0,219.0,231.0,233.0,0.0,69.0,111.0,139.0,146.0,151.0,0.0,0.0,3.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25046.0,49814.0,50020.0,50022.0,50022.0,50022.0,14,50022.07495389883,103.71610485739647,China,moderna,35,hybrid,True
208,28,88.0,135.0,175.0,200.0,204.0,205.0,0.0,53.0,93.0,120.0,128.0,129.0,0.0,3.0,9.0,11.0,11.0,11.0,0.0,2.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
642,12,99.0,168.0,282.0,402.0,494.0,559.0,0.0,64.0,145.0,213.0,272.0,313.0,0.0,0.0,8.0,16.0,27.0,30.0,0.0,0.0,2.0,4.0,9.0,11.0,0.0,0.0,0.0,1.0,4.0,5.0,49566.0,49566.0,49566.0,49566.0,49566.0,49566.0,14,49566.72186387225,99.61678192455048,Japan,az,35,hybrid,True
1470,0,104.0,147.0,177.0,196.0,206.0,211.0,0.0,69.0,104.0,117.0,129.0,132.0,0.0,0.0,9.0,11.0,12.0,14.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50188.0,50188.0,50188.0,50188.0,50188.0,50188.0,14,50188.82580515166,104.88307073450729,Japan,moderna,35,hybrid,True
407,17,96.0,145.0,181.0,199.0,205.0,207.0,0.0,65.0,101.0,122.0,129.0,131.0,0.0,1.0,5.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25229.0,50122.0,50306.0,50307.0,50307.0,50307.0,14,50307.4916033199,96.84873311265744,China,pfizer,35,hybrid,True
1428,18,94.0,127.0,154.0,166.0,172.0,174.0,0.0,57.0,88.0,101.0,103.0,107.0,0.0,0.0,3.0,6.0,7.0,9.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,40652.0,50763.0,50763.0,50763.0,50763.0,50763.0,14,50763.89172781857,94.32470499607496,France,pfizer,35,hybrid,True
1482,12,104.0,147.0,180.0,193.0,201.0,203.0,0.0,64.0,99.0,119.0,124.0,127.0,0.0,0.0,6.0,11.0,13.0,14.0,0.0,0.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,50188.0,50188.0,50188.0,50188.0,50188.0,50188.0,14,50188.82580515166,104.88307073450729,Japan,moderna,35,hybrid,True
354,24,95.0,132.0,165.0,174.0,181.0,185.0,0.0,64.0,88.0,96.0,101.0,104.0,0.0,0.0,2.0,3.0,6.0,6.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,48570.0,48570.0,48570.0,48570.0,48570.0,48570.0,14,48570.25146506496,95.2205948554948,UK,pfizer,35,hybrid,True
1414,4,94.0,133.0,168.0,186.0,191.0,191.0,0.0,50.0,89.0,101.0,110.0,113.0,0.0,1.0,8.0,12.0,12.0,12.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,40591.0,50763.0,50763.0,50763.0,50763.0,50763.0,14,50763.89172781857,94.32470499607496,France,pfizer,35,hybrid,True
1269,9,105.0,168.0,218.0,229.0,230.0,230.0,0.0,66.0,113.0,132.0,134.0,136.0,0.0,0.0,5.0,8.0,10.0,10.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,50398.0,50398.0,50398.0,50398.0,50398.0,50398.0,14,50398.41309243068,105.97783563947138,Japan,pfizer,35,hybrid,True
