,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,106.0,212.0,414.0,650.0,845.0,1010.0,0.0,71.0,178.0,308.0,461.0,586.0,0.0,1.0,9.0,17.0,32.0,44.0,0.0,0.0,3.0,8.0,13.0,17.0,0.0,0.0,0.0,1.0,3.0,7.0,49905.0,49905.0,49905.0,49905.0,49905.0,49905.0,14,49905.06324498071,106.11491396758422,Japan,35,hybrid,True,az
0,105.0,145.0,186.0,213.0,223.0,225.0,0.0,61.0,100.0,118.0,133.0,136.0,0.0,1.0,4.0,6.0,7.0,9.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48944.0,48944.0,48944.0,48944.0,48944.0,48944.0,14,48944.345720991885,105.8541350399399,New Zealand,35,hybrid,True,pfizer
0,98.0,128.0,160.0,178.0,189.0,189.0,0.0,56.0,90.0,109.0,115.0,118.0,0.0,2.0,6.0,7.0,8.0,8.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,50998.0,50998.0,50998.0,50998.0,50998.0,50998.0,14,50998.30976213802,98.51589936201019,New Zealand,35,hybrid,True,pfizer
0,103.0,280.0,734.0,1767.0,4040.0,8444.0,0.0,73.0,256.0,618.0,1504.0,3349.0,0.0,1.0,6.0,25.0,75.0,174.0,0.0,0.0,1.0,8.0,15.0,45.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49447.569704530644,103.29065581019921,UK,35,hybrid,True,none
0,107.0,157.0,203.0,223.0,230.0,233.0,0.0,64.0,104.0,119.0,127.0,128.0,0.0,1.0,8.0,12.0,13.0,13.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,48202.0,48202.0,48202.0,48202.0,48202.0,48202.0,14,48202.07696595852,107.82686596956587,UK,35,hybrid,True,pfizer
0,101.0,170.0,291.0,386.0,468.0,533.0,0.0,58.0,138.0,210.0,281.0,331.0,0.0,1.0,7.0,17.0,21.0,30.0,0.0,0.0,1.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,3.0,4.0,49300.0,49300.0,49300.0,49300.0,49300.0,49300.0,14,49300.328608166936,101.84282911903662,Japan,35,hybrid,True,az
0,100.0,143.0,177.0,193.0,200.0,200.0,0.0,56.0,89.0,108.0,117.0,118.0,0.0,2.0,5.0,8.0,9.0,9.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,50359.0,50359.0,50359.0,50359.0,50359.0,50359.0,14,50359.578061539294,100.81263224987364,UK,35,hybrid,True,pfizer
0,95.0,245.0,655.0,1438.0,3161.0,6685.0,0.0,61.0,217.0,545.0,1203.0,2588.0,0.0,0.0,8.0,16.0,46.0,98.0,0.0,0.0,3.0,6.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49762.853853512126,95.78074669447614,New Zealand,35,hybrid,True,none
0,97.0,200.0,487.0,1014.0,2201.0,4573.0,0.0,60.0,164.0,395.0,848.0,1805.0,0.0,2.0,11.0,20.0,43.0,79.0,0.0,0.0,3.0,5.0,11.0,18.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51319.15809907792,97.93505012428297,France,35,hybrid,True,none
0,101.0,126.0,151.0,159.0,159.0,160.0,0.0,67.0,94.0,104.0,107.0,107.0,0.0,1.0,3.0,6.0,7.0,8.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,48597.0,48597.0,48597.0,48597.0,48597.0,48597.0,14,48597.73595685537,101.07852361842701,France,35,hybrid,True,pfizer
