,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,n_days,pop_type,use_waning,interventions
0,96.0,232.0,622.0,1349.0,2779.0,5878.0,0.0,59.0,212.0,531.0,1143.0,2379.0,0.0,1.0,8.0,15.0,53.0,130.0,0.0,0.0,4.0,8.0,23.0,46.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
1,96.0,243.0,597.0,1324.0,2883.0,5911.0,0.0,75.0,227.0,555.0,1161.0,2418.0,0.0,0.0,7.0,33.0,62.0,137.0,0.0,0.0,1.0,9.0,24.0,43.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
2,96.0,224.0,587.0,1371.0,2911.0,5696.0,0.0,72.0,196.0,524.0,1171.0,2404.0,0.0,4.0,17.0,39.0,78.0,165.0,0.0,1.0,6.0,10.0,25.0,49.0,0.0,0.0,1.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
3,96.0,228.0,568.0,1255.0,2766.0,5673.0,0.0,67.0,190.0,472.0,1078.0,2340.0,0.0,1.0,10.0,28.0,63.0,130.0,0.0,0.0,3.0,10.0,19.0,35.0,0.0,0.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
4,96.0,225.0,567.0,1200.0,2545.0,5231.0,0.0,68.0,202.0,501.0,1012.0,2121.0,0.0,1.0,11.0,31.0,65.0,133.0,0.0,0.0,4.0,15.0,28.0,51.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
5,96.0,228.0,514.0,1211.0,2677.0,5499.0,0.0,70.0,187.0,457.0,1012.0,2234.0,0.0,1.0,12.0,23.0,60.0,130.0,0.0,0.0,4.0,8.0,21.0,45.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
6,96.0,229.0,587.0,1360.0,3013.0,6422.0,0.0,68.0,212.0,521.0,1194.0,2601.0,0.0,1.0,10.0,27.0,60.0,147.0,0.0,0.0,2.0,7.0,18.0,48.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
7,96.0,230.0,633.0,1468.0,3349.0,6920.0,0.0,64.0,228.0,560.0,1234.0,2804.0,0.0,2.0,19.0,43.0,89.0,187.0,0.0,2.0,7.0,14.0,33.0,68.0,0.0,0.0,0.0,5.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
8,96.0,201.0,482.0,1084.0,2359.0,4949.0,0.0,65.0,181.0,399.0,923.0,2005.0,0.0,0.0,15.0,30.0,62.0,126.0,0.0,0.0,5.0,11.0,20.0,38.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
9,96.0,217.0,598.0,1442.0,3186.0,6641.0,0.0,57.0,215.0,562.0,1265.0,2767.0,0.0,1.0,16.0,39.0,89.0,170.0,0.0,0.0,10.0,23.0,39.0,64.0,0.0,0.0,0.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49611.541018656986,96.94694157764506,Japan,35,hybrid,True,none
