,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,interventions,pop_size,pop_infected,location,n_days,pop_type,use_waning
0,97.0,240.0,443.0,710.0,965.0,1164.0,0.0,80.0,191.0,330.0,491.0,621.0,0.0,0.0,4.0,13.0,27.0,43.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,25329.0,50581.0,50779.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
1,97.0,202.0,371.0,576.0,776.0,926.0,0.0,60.0,150.0,267.0,403.0,528.0,0.0,0.0,4.0,9.0,15.0,25.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,25355.0,50576.0,50781.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
2,97.0,202.0,401.0,661.0,916.0,1079.0,0.0,65.0,163.0,283.0,445.0,592.0,0.0,0.0,4.0,11.0,19.0,32.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25391.0,50592.0,50781.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
3,97.0,204.0,440.0,694.0,940.0,1127.0,0.0,58.0,155.0,319.0,471.0,594.0,0.0,0.0,2.0,12.0,23.0,34.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25370.0,50580.0,50779.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
4,97.0,235.0,510.0,865.0,1197.0,1421.0,0.0,62.0,177.0,353.0,567.0,738.0,0.0,0.0,4.0,14.0,30.0,40.0,0.0,0.0,2.0,5.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,25435.0,50578.0,50780.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
5,97.0,185.0,299.0,467.0,616.0,732.0,0.0,55.0,128.0,222.0,309.0,393.0,0.0,1.0,7.0,11.0,19.0,26.0,0.0,0.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,25496.0,50595.0,50780.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
6,97.0,216.0,422.0,681.0,942.0,1141.0,0.0,68.0,166.0,304.0,450.0,621.0,0.0,0.0,2.0,7.0,21.0,27.0,0.0,0.0,1.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,25348.0,50563.0,50780.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
7,97.0,192.0,361.0,549.0,767.0,917.0,0.0,72.0,157.0,266.0,404.0,526.0,0.0,2.0,4.0,12.0,15.0,27.0,0.0,0.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25669.0,50569.0,50779.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
8,97.0,210.0,406.0,593.0,768.0,915.0,0.0,62.0,158.0,292.0,400.0,488.0,0.0,1.0,8.0,19.0,29.0,32.0,0.0,0.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,25497.0,50595.0,50779.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
9,97.0,219.0,506.0,861.0,1135.0,1371.0,0.0,59.0,183.0,379.0,588.0,749.0,0.0,0.0,5.0,15.0,28.0,43.0,0.0,0.0,1.0,5.0,10.0,15.0,0.0,0.0,0.0,0.0,1.0,3.0,25384.0,50588.0,50779.0,50781.0,50781.0,50781.0,14,az,50781.397715844934,97.57809571570893,China,35,hybrid,True
