,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
0,96.0,142.0,182.0,200.0,203.0,205.0,0.0,60.0,110.0,125.0,135.0,137.0,0.0,1.0,8.0,9.0,11.0,13.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
1,96.0,132.0,171.0,180.0,182.0,183.0,0.0,60.0,99.0,116.0,119.0,120.0,0.0,0.0,5.0,9.0,11.0,12.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
2,96.0,124.0,155.0,164.0,166.0,167.0,0.0,55.0,85.0,101.0,102.0,103.0,0.0,1.0,8.0,10.0,11.0,11.0,0.0,0.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
3,96.0,124.0,146.0,161.0,164.0,164.0,0.0,65.0,85.0,100.0,109.0,110.0,0.0,0.0,8.0,9.0,12.0,14.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
4,96.0,140.0,171.0,188.0,191.0,192.0,0.0,46.0,91.0,107.0,117.0,117.0,0.0,1.0,5.0,7.0,10.0,11.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
5,96.0,121.0,150.0,164.0,167.0,167.0,0.0,46.0,78.0,93.0,101.0,104.0,0.0,0.0,1.0,5.0,6.0,6.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
6,96.0,131.0,161.0,172.0,174.0,175.0,0.0,61.0,92.0,107.0,109.0,109.0,0.0,2.0,7.0,12.0,13.0,14.0,0.0,0.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
7,96.0,129.0,174.0,191.0,197.0,199.0,0.0,51.0,91.0,110.0,116.0,120.0,0.0,1.0,7.0,9.0,11.0,13.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
8,96.0,129.0,152.0,158.0,160.0,160.0,0.0,60.0,86.0,94.0,97.0,98.0,0.0,0.0,7.0,12.0,12.0,12.0,0.0,0.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
9,96.0,146.0,197.0,217.0,220.0,220.0,0.0,60.0,104.0,129.0,134.0,136.0,0.0,1.0,6.0,10.0,10.0,11.0,0.0,0.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,49048.0,49048.0,49048.0,49048.0,49048.0,49048.0,14,49048.62823704378,96.89384304340543,UK,pfizer,35,hybrid,True
