,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
0,102.0,159.0,193.0,210.0,216.0,218.0,0.0,61.0,93.0,112.0,117.0,118.0,0.0,0.0,3.0,7.0,8.0,8.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
1,102.0,160.0,204.0,227.0,234.0,234.0,0.0,52.0,103.0,125.0,130.0,132.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
2,102.0,147.0,186.0,200.0,202.0,202.0,0.0,58.0,98.0,113.0,118.0,120.0,0.0,0.0,6.0,8.0,8.0,9.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
3,102.0,133.0,167.0,183.0,188.0,188.0,0.0,53.0,82.0,100.0,108.0,109.0,0.0,2.0,4.0,6.0,7.0,7.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
4,102.0,144.0,188.0,204.0,213.0,215.0,0.0,64.0,108.0,126.0,132.0,137.0,0.0,1.0,4.0,7.0,8.0,9.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
5,102.0,142.0,184.0,201.0,202.0,203.0,0.0,55.0,91.0,102.0,110.0,110.0,0.0,0.0,5.0,5.0,7.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
6,102.0,151.0,191.0,209.0,214.0,215.0,0.0,68.0,106.0,118.0,122.0,124.0,0.0,1.0,2.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
7,102.0,130.0,173.0,188.0,192.0,192.0,0.0,65.0,91.0,109.0,115.0,115.0,0.0,0.0,6.0,7.0,7.0,8.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
8,102.0,149.0,199.0,213.0,220.0,221.0,0.0,56.0,96.0,125.0,131.0,133.0,0.0,0.0,7.0,8.0,8.0,8.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,4.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
9,102.0,153.0,195.0,206.0,208.0,209.0,0.0,66.0,106.0,125.0,128.0,128.0,0.0,2.0,5.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50557.0,50557.0,50557.0,50557.0,50557.0,50557.0,14,50557.17460846362,102.04020266431884,UK,pfizer,35,hybrid,True
