t,date,cum_infections,cum_infections_low,cum_infections_high,cum_reinfections,cum_reinfections_low,cum_reinfections_high,cum_infectious,cum_infectious_low,cum_infectious_high,cum_symptomatic,cum_symptomatic_low,cum_symptomatic_high,cum_severe,cum_severe_low,cum_severe_high,cum_critical,cum_critical_low,cum_critical_high,cum_recoveries,cum_recoveries_low,cum_recoveries_high,cum_deaths,cum_deaths_low,cum_deaths_high,cum_tests,cum_tests_low,cum_tests_high,cum_diagnoses,cum_diagnoses_low,cum_diagnoses_high,cum_known_deaths,cum_known_deaths_low,cum_known_deaths_high,cum_quarantined,cum_quarantined_low,cum_quarantined_high,cum_vaccinations,cum_vaccinations_low,cum_vaccinations_high,cum_vaccinated,cum_vaccinated_low,cum_vaccinated_high,new_infections,new_infections_low,new_infections_high,new_reinfections,new_reinfections_low,new_reinfections_high,new_infectious,new_infectious_low,new_infectious_high,new_symptomatic,new_symptomatic_low,new_symptomatic_high,new_severe,new_severe_low,new_severe_high,new_critical,new_critical_low,new_critical_high,new_recoveries,new_recoveries_low,new_recoveries_high,new_deaths,new_deaths_low,new_deaths_high,new_tests,new_tests_low,new_tests_high,new_diagnoses,new_diagnoses_low,new_diagnoses_high,new_known_deaths,new_known_deaths_low,new_known_deaths_high,new_quarantined,new_quarantined_low,new_quarantined_high,new_vaccinations,new_vaccinations_low,new_vaccinations_high,new_vaccinated,new_vaccinated_low,new_vaccinated_high,n_susceptible,n_susceptible_low,n_susceptible_high,n_exposed,n_exposed_low,n_exposed_high,n_infectious,n_infectious_low,n_infectious_high,n_symptomatic,n_symptomatic_low,n_symptomatic_high,n_severe,n_severe_low,n_severe_high,n_critical,n_critical_low,n_critical_high,n_recovered,n_recovered_low,n_recovered_high,n_dead,n_dead_low,n_dead_high,n_diagnosed,n_diagnosed_low,n_diagnosed_high,n_known_dead,n_known_dead_low,n_known_dead_high,n_quarantined,n_quarantined_low,n_quarantined_high,n_vaccinated,n_vaccinated_low,n_vaccinated_high,n_alive,n_alive_low,n_alive_high,n_naive,n_naive_low,n_naive_high,n_preinfectious,n_preinfectious_low,n_preinfectious_high,n_removed,n_removed_low,n_removed_high,prevalence,prevalence_low,prevalence_high,incidence,incidence_low,incidence_high,r_eff,r_eff_low,r_eff_high,doubling_time,doubling_time_low,doubling_time_high,test_yield,test_yield_low,test_yield_high,rel_test_yield,rel_test_yield_low,rel_test_yield_high,frac_vaccinated,frac_vaccinated_low,frac_vaccinated_high,pop_nabs,pop_nabs_low,pop_nabs_high,pop_protection,pop_protection_low,pop_protection_high,pop_symp_protection,pop_symp_protection_low,pop_symp_protection_high
0,2020-01-03,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0002364513383145748,0.0002364513383145747,0.0002364513383145749,0.0,0.0,0.0,2.855141802979933,0.5217525272953067,5.188531078664559,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-04,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0002364513383145748,0.0002364513383145747,0.0002364513383145749,0.0,0.0,0.0,3.1147001487053814,0.5691845752312439,5.660215722179519,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-05,20.6,18.560392194562887,22.639607805437116,0.0,0.0,0.0,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.4396078054371135,2.6396078054371137,0.0,0.0,0.0,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84563.4,84561.36039219456,84565.43960780543,20.6,18.560392194562887,22.639607805437116,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84563.4,84561.36039219456,84565.43960780543,19.8,17.46761924206188,22.132380757938122,0.0,0.0,0.0,0.0002435448784640121,0.00021943147870238916,0.000267658278225635,7.095413604035895e-06,-1.7024446099752866e-05,3.121527330782465e-05,3.253193052317184,0.8627087966789433,5.643677307955425,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-06,22.0,18.77509690068058,25.22490309931942,0.0,0.0,0.0,4.0,-0.19523539268060652,8.195235392680607,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-0.6396078054371142,3.439607805437114,0.0,0.0,0.0,3.2,-0.12264954516722959,6.52264954516723,0.9,-0.7613247725836151,2.5613247725836152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84562.0,84558.77509690067,84565.22490309933,22.0,18.77509690068058,25.22490309931942,4.0,-0.19523539268060652,8.195235392680607,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84562.0,84558.77509690067,84565.22490309933,18.0,13.804764607319393,22.19523539268061,0.0,0.0,0.0,0.00026009647214603237,0.0002219698394575875,0.0002982231048344772,1.655608161917829e-05,-7.564162067571776e-06,4.0676325305928355e-05,3.242766628491137,1.2145596532116336,5.27097360377064,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-07,26.5,19.219890110719483,33.78010988928052,0.0,0.0,0.0,10.5,5.5,15.5,3.2,0.12754170085255678,6.272458299147443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-1.031726674375733,10.031726674375733,0.0,0.0,0.0,6.5,2.280995378054203,10.719004621945796,2.2,-0.5999999999999996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84557.5,84550.21989011072,84564.78010988928,26.5,19.219890110719483,33.78010988928052,10.5,5.5,15.5,3.2,0.12754170085255678,6.272458299147443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84557.5,84550.21989011072,84564.78010988928,16.0,9.014300321370808,22.985699678629192,0.0,0.0,0.0,0.0003132980232668117,0.0002272284369469342,0.0003993676095866892,5.3219504145607103e-05,-1.2206640623651049e-05,0.00011864564891486526,3.123538978283966,1.5643097191705608,4.682768237397371,10.394956069919939,-4.07637838378,24.866290523619877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-08,32.3,22.540901680995315,42.059098319004676,0.0,0.0,0.0,14.9,9.884025518406219,19.915974481593782,5.8,2.860612308660186,8.739387691339815,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.8200502515735204,9.779949748426478,0.0,0.0,0.0,4.4,1.2759001296373387,7.524099870362662,2.6,1.0,4.2,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84551.7,84541.940901681,84561.459098319,32.3,22.540901680995315,42.059098319004676,14.9,9.884025518406219,19.915974481593782,5.8,2.860612308660186,8.739387691339815,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84551.7,84541.940901681,84561.459098319,17.4,7.3920031974425555,27.40799680255744,0.0,0.0,0.0,0.0003818689113780384,0.0002664913184644296,0.0004972465042916472,6.859809901491322e-05,2.151902615244333e-05,0.0001156771718773831,2.9811307037600403,1.7518364658933894,4.210424941626691,5.169848481813736,1.8869166363315752,8.452780327295896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-09,38.0,27.15564663061923,48.84435336938077,0.0,0.0,0.0,17.9,14.744053232388099,21.0559467676119,9.3,6.195165060747996,12.404834939252005,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.0067629374761227,9.393237062523877,0.0,0.0,0.0,3.0,0.03352060516173472,5.966479394838265,3.5,1.2639320225002102,5.73606797749979,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84546.0,84535.15564663062,84556.84435336938,38.0,27.15564663061923,48.84435336938077,17.9,14.744053232388099,21.0559467676119,9.3,6.195165060747996,12.404834939252005,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84546.0,84535.15564663062,84556.84435336938,20.1,9.845245005364585,30.354754994635417,0.0,0.0,0.0,0.00044925754279769226,0.00032104944943037964,0.0005774656361650049,6.741954970020461e-05,2.373255568368024e-05,0.00011110654371672898,2.8637950662855274,1.7094732703265867,4.018116862244468,4.072492128015897,2.1700076762525216,5.974976579779272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-10,43.9,30.801908535973645,56.99809146402635,0.0,0.0,0.0,21.7,17.40581788928322,25.99418211071678,12.1,9.208633541039807,14.991366458960192,0.3,-0.9806248474865698,1.5806248474865698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,2.058125457540291,9.74187454245971,0.0,0.0,0.0,3.8,0.47735045483277005,7.12264954516723,2.8,-0.40000000000000036,6.0,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84540.1,84527.00190853598,84553.19809146403,43.9,30.801908535973645,56.99809146402635,21.7,17.40581788928322,25.99418211071678,12.1,9.208633541039807,14.991366458960192,0.3,-0.9806248474865698,1.5806248474865698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84540.1,84527.00190853598,84553.19809146403,22.2,11.216375825803214,33.18362417419679,0.0,0.0,0.0,0.0005190106876004918,0.0003641576247987048,0.0006738637504022789,6.97905686116092e-05,2.433850335448219e-05,0.00011524263386873619,2.8042013754607518,1.6077126390584737,4.00069011186303,4.251931911899273,2.789522920473703,5.714340903324844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-11,50.7,33.33221372770842,68.06778627229158,0.0,0.0,0.0,25.3,16.579908257363343,34.02009174263666,14.6,9.524568983820192,19.675431016179807,0.4,-0.9266499161421601,1.72664991614216,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,-1.3877957961834886,14.987795796183487,0.0,0.0,0.0,3.6,-1.5536394906900504,8.75363949069005,2.5,-0.7557641192199411,5.755764119219942,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84533.3,84515.9322137277,84550.6677862723,50.7,33.33221372770842,68.06778627229158,25.3,16.579908257363343,34.02009174263666,14.6,9.524568983820192,19.675431016179807,0.4,-0.9266499161421601,1.72664991614216,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84533.3,84515.9322137277,84550.6677862723,25.4,12.903600518549352,37.89639948145064,0.0,0.0,0.0,0.0005994041426274473,0.000394072327245205,0.0008047359580096896,8.04451209761449e-05,-1.642605903581265e-05,0.00017731630098810245,2.8116756242710954,1.5040782222374018,4.119273026304789,4.807640510405106,2.987058307635686,6.628222713174526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-12,59.5,38.57632919394878,80.42367080605122,0.0,0.0,0.0,30.6,22.895455886296713,38.30454411370329,18.3,11.485309985039674,25.114690014960328,0.6,-0.7266499161421601,1.9266499161421602,0.2,-0.6000000000000001,1.0000000000000002,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,2.0590801814589144,15.540919818541088,0.0,0.0,0.0,5.3,0.39693973114749515,10.203060268852504,3.7,-0.594182110716778,7.994182110716778,0.2,-0.6000000000000001,1.0000000000000002,0.1,-0.5000000000000001,0.7000000000000001,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84524.5,84503.57632919395,84545.42367080605,59.3,38.805122591242466,79.79487740875753,30.4,23.067878888070652,37.732121111929345,18.2,11.459080181458912,24.940919818541087,0.6,-0.7266499161421601,1.9266499161421602,0.2,-0.6000000000000001,1.0000000000000002,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84524.5,84503.57632919395,84545.42367080605,28.9,14.801773161138312,42.99822683886168,0.2,-0.6000000000000001,1.0,0.0007010782181027144,0.00045877615850802115,0.0009433802776974078,0.00010411500429805269,2.4348496442972727e-05,0.00018388151215313267,2.8713291315117844,1.292292581311013,4.450365681712555,4.955030344048742,2.3131555590912267,7.596905129006258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
