,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,pop_size,pop_infected,location,rand_seed
0,100.0,228.0,659.0,1695.0,3942.0,8584.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,UK,1
1,100.0,256.0,577.0,1236.0,2652.0,5580.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,hybrid,50000,100,UK,1
2,100.0,216.0,513.0,1150.0,2462.0,5392.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,hybrid,50000,100,UK,1
3,100.0,184.0,452.0,989.0,2290.0,5033.0,0.0,0.0,0.0,2.0,2.0,2.0,14,35,hybrid,50000,100,UK,1
4,100.0,242.0,605.0,1458.0,3254.0,6905.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,50000,100,UK,1
5,100.0,251.0,620.0,1347.0,3043.0,6457.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,50000,100,UK,1
6,100.0,235.0,604.0,1505.0,3676.0,7881.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,UK,1
7,100.0,242.0,667.0,1582.0,3436.0,7298.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,UK,1
8,100.0,256.0,773.0,1938.0,4611.0,9945.0,0.0,0.0,0.0,0.0,0.0,6.0,14,35,hybrid,50000,100,UK,1
9,100.0,223.0,521.0,1248.0,2792.0,5940.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,hybrid,50000,100,UK,1
10,100.0,211.0,590.0,1350.0,3043.0,6660.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,UK,1
11,100.0,216.0,584.0,1398.0,3371.0,7514.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,UK,1
12,100.0,209.0,498.0,1131.0,2626.0,5773.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,UK,1
13,100.0,214.0,572.0,1278.0,2810.0,6169.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,UK,1
14,100.0,236.0,593.0,1472.0,3325.0,7039.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,hybrid,50000,100,UK,1
15,100.0,204.0,560.0,1339.0,3002.0,6614.0,0.0,0.0,0.0,1.0,1.0,2.0,14,35,hybrid,50000,100,UK,1
16,100.0,249.0,687.0,1680.0,3836.0,8211.0,0.0,0.0,0.0,0.0,2.0,6.0,14,35,hybrid,50000,100,UK,1
17,100.0,230.0,628.0,1463.0,3274.0,6969.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,hybrid,50000,100,UK,1
18,100.0,232.0,605.0,1459.0,3158.0,6487.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,UK,1
19,100.0,229.0,614.0,1444.0,3183.0,6684.0,0.0,0.0,0.0,2.0,4.0,10.0,14,35,hybrid,50000,100,UK,1
20,100.0,225.0,585.0,1439.0,3131.0,6520.0,0.0,0.0,0.0,1.0,1.0,2.0,14,35,hybrid,50000,100,UK,1
21,100.0,211.0,632.0,1450.0,3254.0,6879.0,0.0,0.0,0.0,1.0,3.0,5.0,14,35,hybrid,50000,100,UK,1
22,100.0,260.0,721.0,1730.0,3873.0,8190.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,hybrid,50000,100,UK,1
23,100.0,292.0,851.0,2221.0,5076.0,10265.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,UK,1
24,100.0,188.0,447.0,999.0,2227.0,4971.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,50000,100,UK,1
25,100.0,246.0,731.0,1864.0,4296.0,9274.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,UK,1
26,100.0,218.0,524.0,1204.0,2694.0,5790.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,50000,100,UK,1
27,100.0,224.0,593.0,1464.0,3406.0,7393.0,0.0,0.0,1.0,1.0,2.0,6.0,14,35,hybrid,50000,100,UK,1
28,100.0,278.0,704.0,1751.0,4166.0,9156.0,0.0,0.0,0.0,1.0,2.0,6.0,14,35,hybrid,50000,100,UK,1
29,100.0,251.0,687.0,1575.0,3467.0,7267.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,UK,1
0,100.0,226.0,606.0,1515.0,3463.0,7100.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
1,100.0,246.0,586.0,1284.0,2751.0,5524.0,0.0,0.0,0.0,1.0,3.0,9.0,14,35,hybrid,50000,100,Japan,1
2,100.0,195.0,498.0,1054.0,2206.0,4490.0,0.0,0.0,0.0,1.0,2.0,3.0,14,35,hybrid,50000,100,Japan,1
3,100.0,170.0,450.0,1084.0,2417.0,5081.0,0.0,0.0,0.0,0.0,1.0,7.0,14,35,hybrid,50000,100,Japan,1
4,100.0,226.0,595.0,1331.0,2888.0,5898.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,hybrid,50000,100,Japan,1
5,100.0,217.0,526.0,1199.0,2546.0,5357.0,0.0,0.0,0.0,1.0,7.0,11.0,14,35,hybrid,50000,100,Japan,1
6,100.0,224.0,540.0,1188.0,2562.0,5190.0,0.0,0.0,0.0,0.0,1.0,8.0,14,35,hybrid,50000,100,Japan,1
7,100.0,226.0,589.0,1322.0,2916.0,6442.0,0.0,0.0,0.0,1.0,3.0,9.0,14,35,hybrid,50000,100,Japan,1
8,100.0,244.0,596.0,1437.0,3181.0,6811.0,0.0,0.0,1.0,2.0,3.0,9.0,14,35,hybrid,50000,100,Japan,1
9,100.0,219.0,545.0,1214.0,2652.0,5553.0,0.0,0.0,0.0,2.0,6.0,15.0,14,35,hybrid,50000,100,Japan,1
10,100.0,228.0,588.0,1447.0,3281.0,6944.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
11,100.0,192.0,475.0,1087.0,2360.0,4962.0,0.0,0.0,0.0,2.0,4.0,7.0,14,35,hybrid,50000,100,Japan,1
12,100.0,211.0,496.0,1078.0,2291.0,4825.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
13,100.0,226.0,608.0,1330.0,2946.0,6124.0,0.0,0.0,1.0,2.0,3.0,8.0,14,35,hybrid,50000,100,Japan,1
14,100.0,211.0,489.0,1101.0,2548.0,5241.0,0.0,0.0,0.0,0.0,1.0,4.0,14,35,hybrid,50000,100,Japan,1
15,100.0,209.0,575.0,1419.0,3335.0,7057.0,0.0,0.0,1.0,2.0,2.0,6.0,14,35,hybrid,50000,100,Japan,1
16,100.0,243.0,621.0,1484.0,3246.0,6816.0,0.0,0.0,0.0,1.0,3.0,6.0,14,35,hybrid,50000,100,Japan,1
17,100.0,230.0,618.0,1445.0,3145.0,6429.0,0.0,0.0,0.0,2.0,3.0,11.0,14,35,hybrid,50000,100,Japan,1
18,100.0,207.0,482.0,1045.0,2313.0,4817.0,0.0,0.0,0.0,2.0,3.0,3.0,14,35,hybrid,50000,100,Japan,1
19,100.0,189.0,394.0,814.0,1738.0,3669.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,50000,100,Japan,1
20,100.0,220.0,552.0,1280.0,2908.0,6013.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,50000,100,Japan,1
21,100.0,235.0,599.0,1334.0,2981.0,6248.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,50000,100,Japan,1
